,Course ID,Course Name,Credit Count,Prerequisites,Course Description,General Education Goal
365,BIOL 433,Cardiovascular Physiology,3,,This course is a functional study of the heart and circulatory system.,
366,BIOL 434,Animal Physiology,4,"CHEM 201, BIOL 423","This course focuses on animal physiology with an emphasis on both invertebrates and vertebrates. Specifically, the course will focus on comparative mechanisms involved in physiological processes at the molecular, cellular, tissue, organ, system and whole organism levels. Inquiry-based laboratory exercises will examine physiological concepts using animal models.",
367,BIOL 435,Histology,4,BIOL 220,"Study of types, arrangements and special adaptations of human tissues. Lab included.",
368,BIOL 436,Animal Behavior,4,"BIOL 105, BIOL 106","An exploration of behavioral strategy, communication, learning, and social systems of animals, with emphases placed on the causes, evolution, ecological implications, and function of behavior at the individual and population level. Lab included.",
369,BIOL 438,General Endocrinology,3,BIOL 100 or BIOL 105,"This course provides the basis for understanding hormones and the mechanisms of their actions in both the normal and pathological states. Sample topics to be included are diabetes, osteoporosis, hormones of reproduction and current social and medical issues related to the course.",
370,BIOL 440,Wildlife Management,4,"BIOL 105, BIOL 106, BIOL 215, BIOL 306","A practical and didactic approach to understanding the practices and challenges of managing wildlife populations. Course will focus on applying the ecology, development, physiology, and behavior of wildlife populations to specific management outcomes.",
371,BIOL 441,Plant Physiology,4,"BIOL 105, BIOL 106, BIOL 217, one semester organic","Plant functions such as water relations, mineral nutrition, translocation, metabolisms, photosynthesis, photorespiration, fat and protein metabolism, respiration, growth and development, phytohormones, reproduction and environmental physiology. Lab included. (One semester organic chemistry is recommended.) chemistry recommended.",
372,BIOL 442,Flora of Minnesota,4,,"Field identification of plants with emphasis on local flora. History systematic, techniques, plant biogeography, methods of plant collection, preservation, preparation of herbarium specimens are covered. Lab and field trips included. BIOL 443W Expands upon general principles of ecology to focus on the factors that regulate the distribution and abundance of plants, analysis of plant populations, dynamics of plant communities, and scientific communication. Lecture and lab (fieldwork) included. (Taking",
373,BIOL 446,Principles of Weed Science,4,"BIOL 215, BIOL 217","This course will introduce students to the principles and practices of weed science. Lecture will cover topics including weed biology and ecology, an introduction to weed management techniques and methodologies, factors affecting weed control, and environmental issues associated with weed management. Course material will highlight weed management in cropping systems, non-row crop and rights-ofway, natural areas, and aquatic habitats. The laboratory component of the course will focus on weed identification, crop/weed competition, application techniques including effective herbicide use and current weed control practices. In addition to the prerequisites listed,",
374,BIOL 451,Agroecology,4,"BIOL 105, BIOL 106","Lecture/laboratory course that presents an integrated view of plant biology, crop science, ecology, sustainability and current issues in biotechnology. Course focuses on issues of global concern such as sustainable food production, cropping techniques, climate change responses, pest management and herbicides, resistance, biofuels, genetically modified crops, molecular pharming, and tissue culture. Fall.",
375,BIOL 452,Biological Instrumentation,3,"BIOL 105, BIOL 106, or consent","The principle and operation of instruments and their application to biological research. Types of instrumentation examined include spectroscopic, chromatographic, electroanalytic, radiographic, and imaging. Laboratory Information Management systems (LIMS) will also be examined. Emphasis is placed on GLP, GMP, and ISO 9000 practices.",
376,BIOL 453,Biological Engineering Analysis I,4,"BIOL 270 and one semester each of calculus, physics, and","The application of engineering principles and skills as applied to fermentation and to biological product recovery. organic chemistry, taken concurrently with",
377,BIOL 454,Biological Engineering Analysis II,4,"BIOL 453, taken currently with BIOL 457",Continuation of Biological Engineering Analysis I. The application of engineering principles and skills as applied to fermentation and to biological product recovery.,
378,BIOL 456,Biotechnology Project/Laboratory I,3,Concurrent enrollment in BIOL 453,Practical laboratory experience in biotechnology through the selection and development of a research project. Students are expected to spend an average of 12 hours per week on the project.,
379,BIOL 457,Biotechnology Project/Laboratory II,3,"BIOL 456, taken concurrently with BIOL 454",Continuation of Biotechnology Project/Laboratory I. Practical laboratory experience in biotechnology through the selection and development of a research project. Students are expected to spend an average of 12 hours per week on the project.,
380,BIOL 466,Principles of Pharmacology,3,"CHEM 201, BIOL 211. Select 1 course: BIOL 320 BIOL 330,","A lecture course that examines mechanisms of drug action, physiological responses and adverse reactions from sensitivities or allergies through overdose. BIOL 431,",
381,BIOL 472,Microbial Ecology and Bioremediation,4,"BIOL 105, BIOL 106, and BIOL 270","Role of microorganisms in soil, air, water, sewage processes as well as methods of measurement and detection. Special emphasis on the role of microorganisms in bioremediation. Lab included.",
382,BIOL 473,Virology,3,"BIOL 105, BIOL 106, and BIOL 270","Viruses infect all living things, such as bacteria, fungi, plants, and animals (including humans). There are many viruses that cause significant human mortality and morbidity, such as influenza and smallpox viruses. However, the vast majority of viruses that infect humans have little or no negative impact on our health and well-being. This course will teach Virology by stressing the rules of replication that every virus must follow. The use of viruses as molecular tools, virus-host interactions, and current viral outbreaks will also be discussed.",
383,BIOL 474,Immunology,4,"BIOL 105, BIOL 106, and BIOL 270",Fundamental principles of humoral and cell mediated immunity and the application of these principles. Current experimental work in the different areas of immunology will be discussed. Lab included.,
384,BIOL 475,Medical Microbiology,4,BIOL 270,"This course will cover bacterial, fungal, and viral human pathogens: what diseases they cause, how they cause disease, and how humans defend against and prevent those diseases. In the laboratory the student will isolate and identify pathogenic microorganisms using microbiological, biochemical, and immunological techniques.",
385,BIOL 476,Microbial Physiology and Genetics,5,"BIOL 105, BIOL 106, BIOL 270","This course presents the physiology and genetics of microorganisms emphasizing those aspects unique to bacteria and archea. Topics include: energy production; biosynthesis of small molecules and DNA, RNA, and proteins; the formation of cell walls and membranes; microbial differentiation and behavior; and the genetic and biochemical regulation of these processes. Lab included.",
386,BIOL 478,Food Microbiology and Sanitation,4,"BIOL 105, BIOL 106 and BIOL 270","The role microbes play in production and spoilage of food products, as prepared for mass market. Topics include foodborne pathogens, epidemiology and control, essential principles in sanitation including Hazard Analysis/Critical Control Point and ISO 9000 requirements. Lab included.",
387,BIOL 479,Molecular Biology,4,"BIOL 105, BIOL 106, BIOL 211","This course will cover both eukaryotic and prokaryotic molecular biology including: DNA and RNA structure, transcription, regulation of gene expression, RNA processing, protein synthesis, DNA replication, mutagenesis and repair, recombination, and insertion elements. A number of important techniques used in recombinant DNA technology will be discussed and practiced.",
388,BIOL 481,Lab Supervision and Maintenance,1,,Experience in maintaining and supervising laboratories. For individuals desiring additional experience with students in laboratory situations.,
389,BIOL 485,Biology Teaching Methods and Materials,4,,A basic science methods course designed to prepare prospective junior and senior high life science teachers. Course will cover science teaching methods and support materials as they apply to life science teaching situations.,
390,BIOL 487,Nuclear Medicine Technology Internship I,17,,"The clinical internship and training include lectures, demonstrations, laboratory sessions, and clinical practicum in the area of nuclear medicine technology in affiliation with Mayo School of Health Sciences in Rochester, MN.",
391,BIOL 488,Nuclear Medicine Technology Internship II,17,,"The clinical internship and training include lectures, demonstrations, laboratory sessions, and clinical practicum in the area of nuclear medicine technology in affiliation with Mayo School of Health Sciences in Rochester, MN.",
392,BIOL 489,Senior Seminar,1,,"Senior Seminar in Biology will expose student to the variety of research and job outcomes that exist within the field of biological sciences. Students will receive help in resume building, interview skills, and overall oral and written communication. Students must have completed 90 credits nan",
393,BIOL 490,Workshop,4-Jan,,"A variable topic course designed for a selected topic in Biology. Workshops provide an intensive learning experience on a new topic in the Biological Sciences and/ or hands-on experiences in a current area not covered by other course offerings. The course involves background reading, demonstrations, and laboratory or field experiences.",
394,BIOL 493,Cytotechnology Clinical Internship I,12-Jan,,"The clinical internship and training include lectures, demonstrations, laboratory sessions, and clinical practicum in the area of cytotechnology. Instructor permission required.",
395,BIOL 494,Cytotechnology Clinical Internship II,12-Jan,,"Continuation of Cytotechnology Clinical Internship I. The clinical internship and training include lectures, demonstrations, laboratory sessions, and clinical practicum in the area of cytotechnology. Instructor Permission required.",
396,BIOL 495,Cytotechnology Clinical Internship III,12-Jan,,"Continuation of Cytotechnology Clinical Internship II. The clinical internship and training include lectures, demonstrations, laboratory sessions, and clinical practicum in the area of cytotechnology. Instructor Permission required.",
397,BIOL 496,Cytotechnology Clinical Internship IV,12-Jan,,"Continuation of Cytotechnology Clinical Internship III. The clinical internship and training include lectures, demonstrations, laboratory sessions, and clinical practicum in the area of cytotechnology. Instructor Permission required.",
398,BIOL 497,Internship I,12-Jan,Consent,Experience in applied biology according to a prearranged training program for a minimum of five 40-hour weeks.,
399,BIOL 498,Internship II,12-Jan,Consent,Experience in applied biology according to a prearranged training program for applied to the major.,
400,BIOL 499,Individual Study in Biology,4-Jan,Consent,Individual study of a selected topic in biology with approval from a faculty member.,
401,BIOL 499,Individual Study,4-Jan,,Individual Study Business,
402,BLAW 200,Legal Environment of Business,3,,"Application of law to business settings; the American court system; alternative dispute resolution; ethics and the social responsibility of business; fundamentals of legal reasoning; sources of law; constitutional, criminal, tort, and contract law; business associations.",
403,BLAW 398,CPT: Co-Operative Experience,0,Permission of the Chairperson of the department; co-op,Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one summer and on adjacent fall or spring term. Special rules apply to preserve fulltime student status. Please contact an advisor in your program for complete information. contract; other prerequisites may also apply.,
404,BLAW 450,Contract Law and Professional Responsibility,3,BLAW 200,"Fundamentals of contracts, the law of sales under the UCC; the legal liability of accountants to clients and third parties. Formation of contracts; statute of frauds and parole evidence rule; contract performance; remedies for breach of contract; scope of UCC Article Two; sales warranties; remedies for breach of contracts.",
405,BLAW 452,Employment Law,3,BLAW 200,Federal employment discrimination laws; sexual harassment; first amendment rights; employee safety; workers’ compensation; privacy; wrongful termination; federal laws governing the right to organize and bargain collectively; emerging issues.,
406,BLAW 453,International Legal Environment of Business,3,BLAW 200,"Legal aspects of United States global trade policies, regulation of imports, contracting in the global marketplace, international marketing concerns, structure of various international organizations and treaties. Legal aspects of international licensing and technology, transfers risks of nationalization and expropriation, international dispute resolution, comity, the Act of State, and sovereign immunity doctrines.",
407,BLAW 455,Legal Aspects of Banking and Finance,3,BLAW 200,"Legal aspects of checks and promissory notes, forgery and the use of counterfeit currency. Discusses the Federal Reserve check collection process, electronic banking, the purchase and sale of commercial paper, debtor and creditor rights, securities regulation, fundamentals of collateral foreclosure, the federal bankruptcy code and insurance law.",
408,BLAW 471,Technology and Intellectual Property Law,3,,"This class examines major intellectual property legal issues particularly as they apply to business, technology, innovation and digital media. Topics covered include patents, trademarks, copyrights, trade secrets, intellectual property crime, free speech, the internet and social media, innovation and other emerging issues.",
409,BLAW 474,Environmental Law,3,BLAW 200,"The course introduces students to the legal framework for environmental protection in the United States. Students will study the principal treaties, common law, constitutional principles, statutes, and regulations that govern environmental regulation. They will also explore issues of land use and planning, clean air and water laws, sustainability, and emerging environmental legal issues.",
410,BLAW 476,Construction and Design Law,3,BLAW 200,"Legal responsibilities of architects, engineers and contractors in dealing with each other, the project’s owner, sureties and subcontractors. Special emphasis on performance problems, forms of business association, legal relationships with independent contractors, the AIA contract documents, mechanics liens, AAA Construction Arbitration Rules, dispute avoidance, claims management and collection strategies.",
411,BLAW 477,Negotiation and Conflict Resolution,3,BLAW 200,"This course examines the theory and practice of negotiation and trains students to be effective, strategic and ethical negotiators. Topics covered include theories, style and techniques of negotiations and dispute resolution; contract negotiation and dispute resolution; alternative dispute resolution; and ethical aspects of negotiation and dispute resolution. Students will develop negotiation skills through cases and activities.",
412,BLAW 483,Special Topics,3-Jan,,"Seminar topics may include women and the law, legal aspects of entrepreneurship, mergers and acquisitions, legal rights in computer software, investigating sexual harassment claims, copyright on the internet, immigration law, steps to become an IPO, privacy rights on computer networks, case studies in deregulation, legal aspects of leveraged buyouts, corporate takeover and ESOP’s, complying with NAFTA.",
413,BLAW 492,Study Tour,3-Jan,,"Study tours are led by Minnesota State University, Mankato faculty members and provide students the opportunities to visit epicenters of international law to experience the development and implementation of international law and its effect on businesses.",
414,BLAW 497,Internship,8-Jan,,,
415,BLAW 498,Internship,3-Jan,,,
416,BLAW 499,Individual Study,4-Jan,,CAHN Interdisciplinary CAHN 101W This interdisciplinary course is designed to introduce students to health careers and related professions. It is a writing intensive course preparing students to become effective communicators within the context of health care settings. Chemistry,
417,BUS 295,Professional Preparation for Business Careers,2,,"This course is required for admission to the College of Business for all business majors. The purpose of the course is to provide students with an overview of COB majors, allow students to create an academic plan for graduation, and develop professional skills needed for future job placement. Topics include cover letter and resume writing, interviewing skills, the process of networking, the internship program, etiquette skills, and requirements for graduation.",
418,BUS 397,IBE Practicum,3,Must be admitted to a major,"BUS 397 provides students an entrepreneurial real-world learning opportunity. Students gain additional insight into business concepts by applying the material in a real-world environment and gaining insight into the integrated nature of business. The class focuses on learning to develop and operate a business entity. Student teams will operate their own company, obtain an actual bank loan, and sell their chosen products throughout the semester. The class provides an opportunity to practice business skills such as communication, problem-solving, and leadership. Students learn what it takes for entrepreneurs to succeed while giving back through community service.",
419,BUS 491,BBA Capstone I,1,All other BBA program courses (excluding two capstone courses) must be complete with a mastery of 70% or higher,"The first capstone course will begin with the student identifying a business problem based on feedback solicited from management, peers, faculty, and/or mentors. The scope of the project definition will be documented and reviewed with a key business stakeholder who will work directly with the student throughout both capstone courses. A mutually acceptable project plan will represent an appropriate level of complexity to achieve the final project goal and solve a business problem of strategic importance for the business organization.",
420,BUS 492,BBA Capstone II,3,BUS 491,The student will demonstrate and apply knowledge gained from the first capstone course (BUS491) and overall BBA program into the real-world project experience. Business skills and professional development will be challenged for the student to integrate relevant knowledge through the project-based learning experience. The final written and oral presentation of the project results will demonstrate the problem-solving and critical thinking context beyond the classroom. Business Law,
421,CDIS 201,Observation of Human Communication,3,,"This course will focus on observing human communication in a variety of contexts, practicing the skill of observation of the communication of others, analyzing communication interactions, and modifying one’s own communication to bring forth the unconscious knowledge.",{1B}
422,CDIS 205,Beginning American Sign Language - Level I,3,,"Beginning ASL - Level I aims to develop a basic understanding and use of American Sign Language through learning parameters of sign, fingerspelling, basic grammar and a basic understanding of Deaf culture.",{11}
423,CDIS 220,Basic Audiology,3,,"Audiology is the study of both hearing and balance. In this course we will learn about the anatomy and physiology of the hearing and balance systems, common changes in hearing and balance, how we assess our hearing and balance systems, how we interpret and present the results to the patient and discuss management options for hearing and balance. In addition to the procedures, we will discuss how to provide personcentered care for each step.",
424,CDIS 290,Introduction to Communication Disorders,3,,"This course will introduce a wide range of communication disorders affecting children and adult population. We will explore how the brain produces and understands speech, language and hearing. Neurological, anatomical, physiological, sensory, cognitive and linguistic liberation components of communication will be discussed. You will learn to identify a communication disorder based on the origin of the disorder, characteristics of the disorder, related assessment and intervention methods, and an impact of the disorder on one’s daily life (for example, home, school, work, and/or community). You will learn how systemic racism affects linguistic diversity and equity in speech-language and hearing sciences.",{Purple}
425,CDIS 290,Introduction to Communication Disorders,3,,"This course will introduce a wide range of communication disorders affecting children and adult population. We will explore how the brain produces and understands speech, language and hearing. Neurological, anatomical, physiological, sensory, cognitive and linguistic liberation components of communication will be discussed. You will learn to identify a communication disorder based on the origin of the disorder, characteristics of the disorder, related assessment and intervention methods, and an impact of the disorder on one’s daily life (for example, home, school, work, and/or community). You will learn how systemic racism affects linguistic diversity and equity in speech-language and hearing sciences.","{Purple, 07}"
426,CDIS 291,Individual Study,3-Jan,,,
427,CDIS 306,Intermediate American Sign Language - Level II,3,,"Intermediate American Sign Language - Level II builds off knowledge and skills obtained in Level I. Expands on understanding and use of more complex grammar, classifiers, and social conversation.",
428,CDIS 307,Advanced I American Sign Language - Level III,3,,"Advanced I American Sign Language - Level III involves more extensive use of classifiers, labeling, social conversation and increased ability to be fluent, smooth and have confidence and flow in signing.",
429,CDIS 308,Conversations in American Sign Language,1,,"This course is a repeatable, 1 credit course for students who would like to continue to use and maintain their conversational language skills in American Sign Language (ASL). It is highly recommended that students have at least a basic understanding and use of ASL (Level II).",
430,CDIS 312,Speech and Language Development,3,,This course will focus on children’s speech and language development. Observing children has a practical application by linking theory to practice. Students can establish language-rich environments to support children’s language and literacy development by understanding speech and language development processes using an equity and culturally humble lens.,
431,CDIS 320,Beginning and Intermediate Audiometrics,2,,"Audiometrics is a clinical experience (practicum) for undergraduate students interested in speech-language pathology and audiology. Students will observe and perform basic evaluation procedures such as otoscopy, pure-tone audiometry, speech testing, and immittance testing with clinical instruction. Students will engage in the clinical process from preparation for an evaluation through reporting out the results and making recommendations based on a person-centered care model. We will discuss the importance of person-centered care and will have reflection journals after seeing a patient to create dialogue on what went well and things to continue practicing.",
432,CDIS 322,Speech and Hearing Science,3,,"This course is designed to provide the students with a comprehensive knowledge base of speech and hearing sciences. The major emphasis is on examining the speech chain, how speech and hearing science fits into this model, apply concepts to real-life scenarios, and what can happen when changes occur in the speech chain. CDIS 346 Cultural Humility in Communication Sciences and CDIS 350W This course will explore interprofessional practice and research design with emphasis related to the areas of allied health and nursing sciences and disciplines. Basic overview of research methodologies commonly utilized in health sciences and approaches to interprofessional research will be explored through review of original research. Students will be required to produce and revise scientific writing with specific focus on interprofessional studies. Team-based problem centered research questions will be developed and investigated using various research methodology and interprofessional practice best standards with current health-related issues.",
433,CDIS 392,Phonetics,3,,"The International Phonetic Alphabet is a critical tool for analyzing and transcribing the speech sounds of world languages in a universally understood way. It is particularly useful for speech-language pathologists tasked with assessing and treating speech-sound and motor speech disorders in adults and children. This course is designed to teach students the International Phonetic Alphabet in order to transcribe and analyze the speech of speakers of General American English recognizing regional, dialectical and linguistic variations in the speech sound productions of all individuals.",
434,CDIS 394,Applied Anatomy and Physiology,3,,"In-depth study of structures and functions associated with communication and swallowing processes. These include selected parts of the nervous system, respiratory system, larynx, pharynx, oral cavity, articulators, and the hearing mechanism. Information is framed within a clinical perspective to allow insight into how these mechanisms relate to communication impairments and associated sequala. Gender, culture, and issues such as access to health care and health information will be discussed.",
435,CDIS 401,Hearing Disorders,3,,"This course is designed to provide students with the knowledge base of various changes that can occur to the auditory and vestibular systems. It will explore the range of impact these changes can have as it relates to various aspects of life, such as education, work, general communication, and social life. We will also discuss health inequities and the impact on hearing and balance health and the patient.",
436,CDIS 402,Child Language Disorders,2,,"In this course, students learn to describe the characteristics and specific patterns of language disorders in children and issues that surround them, including those relating to diversity, equity, and inclusion. Assorted topics detailing the identification and management of children with language impairment are covered.",
437,CDIS 403,Child Language Disorders Lab,1,,Lab associated with,
438,CDIS 407,Advanced II American Sign Language - Level IV,3,"CDIS 306, CDS 307","This course is a continuation of Advanced knowledge in American Sign Language. Fluent, social and academic use and understanding of sign language will be explored as well as continued expansion of knowledge of Deaf Culture and Deaf Community.",
439,CDIS 408,Seminar in Central Auditory Processing Disorders,3,,"Students will learn the definition of central auditory processing disorders (CAPD), as well as the controversies surrounding the diagnosis of the disorder. The neuroanatomy and physiology related to auditory processing will also be covered in order to understand the diversity involved in the diagnostic and management methods of CAPD. Students will learn the appropriate test batteries, the diagnostic team involved, the inclusion of a multidisciplinary team approach and treatment/ management options for CAPD. This course would be beneficial to education majors, CDIS majors, Educational Psychology. CDIS 409W Literacy Foundations and Disorders for Speech-Language",
440,CDIS 410,Neurological Bases of Speech,2,,"This course provides students with an overview of neuroanatomy and neuroscience. This course will emphasize relationships between neuroscience and speech, language, and hearing. Students will learn through lectures, assigned readings, and class activities and assignments. Clinical case discussions will be emphasized throughout the course.",
441,CDIS 416,Voice and Resonance Disorders,3,,"Description, etiology, assessment and management of voice and resonance disorders.",
442,CDIS 420,Advanced Audiometrics,2,,"Audiometrics is a clinical experience (practicum) for undergraduate students interested in speech-language pathology and audiology. Students will observe and perform basic evaluation procedures such as otoscopy, pure-tone audiometry, speech testing, and immittance testing with clinical instruction. Students will also have the chance to learn more about hearing aids and other audiologic testing based on their needs and interests. Students will engage in the clinical process from preparation for an evaluation through reporting out the results and making recommendations based on a person-centered care model and serve as mentors to students in the",
443,CDIS 421,Aural Rehabilitation,3,,"This course will evaluate habilitative audiology and the range of communication options, including American Sign Language and cued speech, hearing aids, cochlear implants, speech reading and auditory training. This class will look at how these strategies impact someone from birth to the end of life and will evaluate aural rehabilitation options form a person-centered perspective.",
444,CDIS 422,Hearing Across the Lifespan,2,,"This course will examine how our hearing and perception of speech evolves from birth through older age. Hearing impacts on all aspects of life from language acquisition, learning in school, work, a person’s health, and socializing with others will be explored. The impact of hearing technology will be explored as well as limitations that still exist in this technology for speech and music perception. Audism and how systemic and individual biases create barriers to those with changes in hearing will be discussed. CDIS 431 Observation of Clinical Methods in Speech-Language",
445,CDIS 434,Clinical Methods in Speech-Language Pathology,2,"Consent, concurrent enrollment in CDIS 431","This course will provide students with a basic understanding of clinical methods in speech-language pathology therapy and management across disorder categories and the lifespan. Clinical methods including basic intervention approaches as well as a focus on client-clinician interactions, therapeutic-specific skills and case management will be discussed using lectures, assigned readings, and simulations.",
446,CDIS 438,Speech Sound Disorders,3,,"This course provides an introduction to the nature, assessment and management of speech sound disorders in children. The course covers cross-linguistic issues including differential diagnosis of speech sound disorders versus normal second language acquisition. Course content will be delivered through lecture, textbook readings, clinical applications and practical exercises in assessment and treatment of speech sound disorders.",
447,CDIS 444,Appraisal and Diagnosis,3,,"This course is designed to introduce students to assessment tools, measures, and procedures for the evaluation, appraisal and diagnosis of speech and language. As speech-language pathologists are increasingly serving culturally and linguistically diverse clients, students will be provided with core information to become prepared to evaluate the speech and language of multilingual and multicultural clients.",
448,CDIS 445,Grand Rounds-Foundation,1,,"The purpose of this capstone course, designed in a Grand Rounds format, is to provide professional experiences which are similar to those encountered in the real world in the field of neurogenic communication disorders. The intent of this course is to develop professional knowledge, exercise thinking skills, based on application of their academic training and within the context of their own experiences, values and beliefs. This course will provide hands-on opportunities to learn about a variety of neurogenic communication disorders and build up a professional portfolio.",
449,CDIS 446,Grand Rounds-Presentation,2,,"The purpose of this capstone course, which is designed in a Grand Rounds format, is to provide case study situations which are similar to those encountered in the real world by speech-language pathologists and audiologists. The use of case method instruction involves students¿ use of critical thinking skills which help build decision making and problemsolving abilities. CDIS 447 Counseling in Communication Sciences and",
450,CDIS 477,Interprofessional Practices,1,,This course will explore interprofessional practices with emphasis related to the areas of allied health and nursing sciences and related disciplines. Students will learn how to interact with other disciplines. Students will be taught techniques to implement outcome-based interprofessional activities through project or community-based experiences.,
451,CDIS 491,Inservice,6-Jan,,Study of a specific disorder or aspects of communication disorders that are not provided in the current curriculum.,
452,CDIS 495,Clinical Practicum: Speech/Language Disorders,2,"ENG 101, CHEM 324","A practicum course designed to educate students clinical speechlanguage pathology services to persons with communication disorders. The student will begin to develop skills to conduct diagnostic sessions, design and implement intervention plans and write clinical reports. Prereq: 3 of the following: 402, 416, 417, 438 (completion of or concurrent enrollment in 444). Overall GPA of 3.0 is highly recommended. Please contact your advisor if you are interested in taking the course without this prerequisite GPA. Corequisites: Completion of or concurrent enrollment in 444. Computer Information Science",
453,CHEM 100,Chemistry in Society,3,,"This lecture and laboratory course investigates the world of chemistry, the nature of matter and our interactions with chemicals on a daily basis. This course is intended for non-science majors and is not a preparation for CHEM 111 or",{03}
454,CHEM 101,Skills for General Chemistry,2,,"This course is intended for students who have withdrawn from, or been unsuccessful in General Chemistry I. This course will help the student develop fundamental applied mathematics and chemistry skills that are central to success in General Chemistry, including unit conversions, scientific notation, relevant algebraic manipulations, chemical formulas and naming, and fundamental stoichiometry and reactions.",
455,CHEM 104,Introduction to Chemistry,3,,This course is an introduction to general chemistry. It is a nonlaboratory class designed to prepare students for,{03}
456,CHEM 106,Chemistry of Life Process Part I (General),3,High school algebra recommended,This course covers fundamental concepts required to understand the general chemistry in living organisms. This is a non-laboratory class. This chemistry course will not prepare students for any Chemistry course at or above the 200 level. High school algebra recommended.,{03}
457,CHEM 111,Chemistry of Life Process Part II (Organic & Biochemistry),5,CHEM 106 or high school chemistry,Introduction to organic chemistry and biological chemistry. The laboratory will reinforce the lecture content.,{02}
458,CHEM 111,Chemistry of Life Process Part II (Organic & Biochemistry),5,CHEM 106 or high school chemistry,Introduction to organic chemistry and biological chemistry. The laboratory will reinforce the lecture content.,{03}
459,CHEM 131,Forensic Science,3,,"This chemistry course explores the scientific methods used in criminal investigations. Course topics will include discussions of different kinds of evidence, how to select and analyze samples, and especially how to interpret results of scientific tests. Specific topics will include the analysis of DNA, drugs, accelerants and explosives, and other organic and inorganic compounds. Case studies will be used as examples throughout the course. There will also be discussions concerning the ethics of analysis and uses of forensic data.",{03}
460,CHEM 131,Forensic Science,3,,"This chemistry course explores the scientific methods used in criminal investigations. Course topics will include discussions of different kinds of evidence, how to select and analyze samples, and especially how to interpret results of scientific tests. Specific topics will include the analysis of DNA, drugs, accelerants and explosives, and other organic and inorganic compounds. Case studies will be used as examples throughout the course. There will also be discussions concerning the ethics of analysis and uses of forensic data.",{09}
461,CHEM 134,Mind Altering Substances,3,,"This course will explore the scientific, pharmacological, neurochemical and cultural aspects of psychoactive substances. The material is presented intuitively, with no mathematics. Course topics will include discussions of the major classes of pharmaceutical and psychoactive substances, basic neurochemistry, the role of psychoactive substances in medicine, the ritual use of psychoactive substances by traditional cultures, the FDA approval process, the significance and implications of drug testing, the controversy of drug-induced behavioral modification, national and global perspectives of substance abuse and the ethics of legalization.",{03}
462,CHEM 190,Learning in Chemistry Applications,1,,This course is designed for those students who struggle with Chem 191. Students will learn study skills and time management skills that will aid in their success in Chem 191. Students will also refresh concepts that were learned in high school or previous college chemistry courses.,
463,CHEM 191,Chemistry Applications,3,High school chemistry or “C” (2.0) or higher in CHEM,"From an engineering perspective, concepts of general chemistry will be investigated. Topics include atomic structure, stoichiometry, gas laws, periodic trends chemical bonds, thermodynamics, kinetics and organic chemistry. 104. Student must demonstrate math placement requirements at or above",{02}
464,CHEM 191,Chemistry Applications,3,High school chemistry or “C” (2.0) or higher in CHEM,"From an engineering perspective, concepts of general chemistry will be investigated. Topics include atomic structure, stoichiometry, gas laws, periodic trends chemical bonds, thermodynamics, kinetics and organic chemistry. 104. Student must demonstrate math placement requirements at or above",{03}
465,CHEM 200,GC1 Laboratory Component,1,CHEM 191,General chemistry lab for students who successfully have completed a general chemistry lecture course elsewhere and transferred to MSU. The transfer course must be accepted by the Chemistry Department as content/level appropriate and the MSU major must require Chemistry 201. This course requires special permission. Prerequisite: college level general chemistry lecture.,
466,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high,"Introduction to the basic principles of chemistry including atomic and molecular structure, bonding, chemical reactions, stoichiometry, thermodynamics and states of matter. Laboratory will reinforce lecture concepts. school chemistry or “C” (2.0) or higher in",{02}
467,CHEM 201,General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high,"Introduction to the basic principles of chemistry including atomic and molecular structure, bonding, chemical reactions, stoichiometry, thermodynamics and states of matter. Laboratory will reinforce lecture concepts. school chemistry or “C” (2.0) or higher in",{03}
468,CHEM 202,General Chemistry II,5,“C” (2.0) or higher in CHEM 201,"Continuation of the basic principles of chemistry including properties of solutions, kinetics, acids and bases, equilibria, buffers, precipitation reactions, electron transfer reactions, electrochemistry, entropy and free energy. Laboratory will reinforce lecture concepts. CHEM 281 Biochemistry and Chemistry Professional",
469,CHEM 299,Individual Study,6-Jan,,,
470,CHEM 305,Analytical Chemistry,4,“C” (2.0) or higher in CHEM 202,"Introduction to the principles of chemical analysis, with emphasis on classical methods of analysis. Lectures will stress the theory of chemical measurements and sample handling. Laboratory exercises will provide students with opportunities to explore calibration methods, method development, and established procedures for volumetric and gravimetric analyses. Basic atomic spectroscopy is also presented.",
471,CHEM 316,Descriptive Inorganic Main Group Chemistry,3,“C” (2.0) or higher in CHEM 202,This course is designed to survey descriptive main group chemistry and augment General Chemistry’s introduction to solid state and nuclear chemistry.,
472,CHEM 317,Transition Metal Chemistry,3,“C” (2.0) or higher in CHEM 202,"This course is designed to address transition metal chemistry, introduce bonding theory, nomenclature, reactivity and mechanisms for transition metal compounds. It will also address and use examples from bioinorganic chemistry and catalysis.",
