Course Number,Course Name,Credit Count,Prerequisites,Color Group
Prerequisites: ENG,"101,",CHEM,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
CIS 100,Introduction to Computing and Applications,4,N/A,N/A
CIS 101,Introduction to Information Systems,3,N/A,N/A
CIS 113,Health Humanities and Health Informatics,4,N/A,Purple
CIS 115,Big Ideas of Computer Science,4,N/A,N/A
CIS 121,Introduction to Programming,4,N/A,N/A
Prerequisites: MATH,112 or MATH 113 or MATH 115 or,MATH,N/A,N/A
CIS 122,Data Structures,4,N/A,N/A
This course,is a continuation of CIS 121. Students develop,a,N/A,N/A
Prerequisites: CIS,"121. Select One Course: MATH 112, MATH","113,",N/A,N/A
"115, MATH","121, or",MATH,N/A,N/A
CIS 123,Applied Programming for Healthcare,Professionals4,N/A,N/A
Prerequisites: CIS,"121. Select One Course: MATH 112, MATH","113,",N/A,N/A
"115, MATH","121, or",MATH,N/A,N/A
CIS 201,Introduction to Assistive Technology,2,N/A,N/A
CIS 202W,Computers in Society,4,N/A,N/A
CIS 223,Algorithms,4,N/A,N/A
This course,builds on CS 122 (Data Structures) with,coverage,N/A,N/A
Prerequisites: MATH,121 and CS 111 or CIS 122 or,IT,N/A,N/A
CIS 224,Computer Architecture,4,N/A,N/A
Prerequisites: CS,111 or CIS 122 or,IT,N/A,N/A
CIS 296,(1-2) Introduction to Selected Topics,1-2,N/A,N/A
Special topics,not covered in other 100- and 200-level courses.,May,N/A,N/A
CIS 311,Business Application Programming,4,N/A,N/A
CIS 311,Business Application Programming,4,N/A,N/A
CIS 340,Introduction to Database Systems,4,N/A,N/A
Prerequisites: CIS,121 or an,approved,N/A,N/A
238 2024-2025,Undergraduate,Catalog,N/A,N/A
CIS 342,Fundamentals of Descriptive Analytics,4,N/A,N/A
Prerequisites: CIS,340. Select one: STAT 154 or,ECON,N/A,N/A
CIS 350,Information Security,4,N/A,N/A
Prerequisites: EE,107 or CIS 121 or an,approved,N/A,N/A
CIS 360,Introduction to Networking,4,N/A,N/A
a 3.0,or higher grade in IT 210 or an approved substitute,is,N/A,N/A
Prerequisites: CIS,"121. Select 1: MATH 113, MATH 115, MATH 121.",Or,N/A,N/A
CIS 380,Systems Analysis and Design,4,N/A,N/A
Prerequisites: CIS,340. Select One Course: CIS 122 or,CIS,N/A,N/A
CIS 390,International Technology Experience,12,N/A,N/A
CIS 393,Career Readiness,1,N/A,N/A
CIS 393,Career Readiness,1,N/A,N/A
CIS 398,CPT: Co-Operative Experience,0,N/A,N/A
CIS 398,CPT: Co-Operative Experience,0,N/A,N/A
CIS 414,Advanced Object-Oriented Programming,with,N/A,N/A
CIS 414,Advanced Object-Oriented Programming,with,N/A,N/A
Prerequisites: CIS,"223,",CIS,N/A,N/A
CIS 418,Foundations of Data Science,4,N/A,N/A
Prerequisites: CIS,"223,",CIS,N/A,N/A
CIS 440,Database Management Systems,4,N/A,N/A
Prerequisites: CIS,"340,",CIS,N/A,N/A
CIS 442,"Database Security, Auditing and Disaster Recovery",4,N/A,N/A
Prerequisites: CIS,"350,",CIS,N/A,N/A
CIS 443,Health Information Technology in Clinical,Practice4,N/A,N/A
Prerequisites: CIS,"113,",CIS,N/A,N/A
CIS 444,Data Analytics,4,N/A,N/A
CIS 444,Data Analytics,4,N/A,N/A
CIS 450,Information Warfare,4,N/A,N/A
CIS 450,Information Warfare,4,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
CIS 460,Network and Security Protocols,4,N/A,N/A
CIS 460,Network and Security Protocols,4,N/A,N/A
CIS 462,"Network, Security,",Administration,N/A,N/A
CIS 462,"Network, Security,",Administration,N/A,N/A
CIS 464,Applications of Wireless and Mobile Networks,4,N/A,N/A
CIS 464,Applications of Wireless and Mobile Networks,4,N/A,N/A
CIS 465,Mobile Device Application Programming,4,N/A,N/A
Prerequisites: CIS,"223,",CIS,N/A,N/A
CIS 480,Software Quality Assurance and Testing,4,N/A,N/A
Prerequisites: CIS,"223,",CIS,N/A,N/A
CIS 482,Human Computer Interaction,4,N/A,N/A
Prerequisites: MATH,121. Select one: STAT 154 or PSYC 201. Select,one:,N/A,N/A
CIS 483,Web Application Design and Development,4,N/A,N/A
CIS 483,Web Application Design and Development,4,N/A,N/A
CIS 484,Software Engineering,4,N/A,N/A
Prerequisites: CIS,"223,",CIS,N/A,N/A
CIS 485,Game Design and Development,4,N/A,N/A
Prerequisites: CIS,"223,",CIS,N/A,N/A
CIS 495,Seminar in Information Technology,1,Consent.,N/A
CIS 496,Selected Topics in Information Technology,1-4,Consent,N/A
CIS 497,Internship,1-12,N/A,N/A
direction of,a faculty member. (At most 4 hours toward a major,in,Permanent admission to IT and consent.,N/A
CIS 498,Information Technology Capstone,4,Senior standing and consent,N/A
CIS 499,Individual Study,1-4,N/A,N/A
CS 201W,Artificial Intelligence & Science Fiction,4,N/A,N/A
Course will,explore the interplay between science,fiction,N/A,N/A
240 2024-2025,Undergraduate,Catalog,N/A,N/A
CS 230,Introduction to Intelligent Systems,4,N/A,N/A
CS 230,Introduction to Intelligent Systems,4,N/A,N/A
CS 271,Introduction to Graphical Programming,3,N/A,N/A
Prerequisites: EET,"113,",MATH,N/A,N/A
CS 294,Workshop,1-3,Consent of instructor,N/A
CS 295,Computer Science Seminar,1,N/A,N/A
CS 296,Introduction to Selected Topics,1-2,N/A,N/A
Special topics,not covered in other 100 or 200-level courses.,May,N/A,N/A
CS 301,CS Core: Operating Systems,2,N/A,N/A
Prerequisites: CIS,"223, CIS 224 or EE 234, and admission",to,N/A,N/A
CS 302,CS Core: Software Engineering & Parallel,Computing2,N/A,N/A
Prerequisites: CIS,"223, CIS 224, and admission",to,N/A,N/A
CS 303,CS Core: Programming Languages,2,N/A,N/A
Prerequisites: CIS,"223, CIS 224, and admission",to,N/A,N/A
CS 304,CS Core: Databases & Information Security,2,N/A,N/A
Prerequisites: CIS,"223, CIS 224, and admission",to,N/A,N/A
CS 306,Network Architectures,2,N/A,N/A
Prerequisites: CIS,223 and CIS 224 or,EE,N/A,N/A
CS 308,Applied Algorithms,2,N/A,N/A
CS 391,Computer Science Project 1,4,N/A,N/A
responsibility. Course,must be taken concurrently with,CS,N/A,N/A
Prerequisites: CIS,223 and,MATH,N/A,N/A
CS 391W,Computer Science Project 1,4,N/A,N/A
responsibility. Course,must be taken concurrently with,CS,N/A,N/A
Prerequisites: CIS,223 and,MATH,N/A,N/A
CS 392,Computer Science Project 2,4,N/A,N/A
taken concurrently,with,CS,N/A,N/A
taken concurrently,with,CS,N/A,N/A
CS 392W,Computer Science Project 2,4,N/A,N/A
taken concurrently,with,CS,N/A,N/A
taken concurrently,with,CS,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
CS 401,Topics in Operating Systems,2,N/A,N/A
CS 403,Topics in Programming Languages,2,N/A,N/A
CS 406,Topics in Networking & Communication,2,N/A,N/A
expansion of,topics covered in CS 306. Prerequisite:,Admission,N/A,N/A
CS 410,Topics in Algorithms & Computability,2,Admission to major or permission.,N/A
CS 415,Topics in Parallel & Distributed Computing,2,Admission to major or permission.,N/A
CS 420,Topics in Architecture & Organization,2,Admission to major or permission.,N/A
CS 435,Topics in Intelligent Systems,2,N/A,N/A
CS 440,Topics in Information Management,2,N/A,N/A
CS 445,Topics in Information Assurance and Security,2,N/A,N/A
CS 450,Topics in Computational Science,2,N/A,N/A
CS 465,Topics in Graphics & Visualization,2,N/A,N/A
game programming,with concentration on 3D,graphics,Admission to major or permission.,N/A
CS 470,Topics in Human Computer Interaction,2,Admission to major or permission.,N/A
CS 480,Topics in Software Engineering,2,Admission to major or permission.,N/A
CS 485,Topics in Platform-Based Development,2,N/A,N/A
242 2024-2025,Undergraduate,Catalog,N/A,N/A
CS 490W,Cognitive Science Senior Capstone,4,Senior standing and successful completion of all core,N/A
CS 491,(4.00) Computer Science Capstone 1,4,N/A,N/A
on the,experience gained in CS 391W/392W to bring their,research,N/A,N/A
Prerequisites: CS,"301, CS 302, CS 303, CS 304,",CS,N/A,N/A
CS 491W,Computer Science Capstone 1,4,N/A,N/A
on the,experience gained in CS 391W/392W to bring their,research,N/A,N/A
Prerequisites: CS,"301, CS 302, CS 303, CS 304,",CS,N/A,N/A
CS 492,Computer Science Capstone 2,4,N/A,N/A
in CS,391W/392W to bring their research or,project,N/A,N/A
Course must,be taken concurrently with,CS,N/A,N/A
Prerequisites: CS,"491 and (CS 306, CS 401, CS 403, CS 406, CS 410,",CS,N/A,N/A
"CS 435,","CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or",CS,N/A,N/A
CS 492W,Computer Science Capstone 2,4,N/A,N/A
in CS,391W/392W to bring their research or,project,N/A,N/A
Course must,be taken concurrently with,CS,N/A,N/A
Prerequisites: CS,"491W and (CS 306, CS 401, CS 403, CS 406, CS","410,",N/A,N/A
"420, CS","435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or",CS,N/A,N/A
CS 494,(1-3) Workshop,1-3,Consent of Instructor,N/A
CS 495,Computer Science Seminar,1,Admission to major.,N/A
CS 496,(1-4) Selected Topics in Computer Science,1-4,Consent,N/A
CS 497,(1-6) Internship,1-6,N/A,N/A
guidance and,direction of a full-time staff member. (At most,4,N/A,N/A
Prerequisites: Permanent,"admission to the CS major, CS","300,",N/A,N/A
CS 498W,Senior Thesis,4,Senior standing and consent,N/A
CS 499,(1-4) Individual Study,1-4,Consent,N/A
CM 108,Construction Work Experience,1,N/A,N/A
CM 111,Introduction to Construction Management,1,N/A,N/A
CM 120,Construction Graphics,3,N/A,N/A
CM 130,Construction Documents,2,N/A,N/A
CM 210,Construction Materials and Methods I,3,N/A,N/A
Prerequisites: CM,"111, CM 120, CM 130,",CIS,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
CM 220,Construction Materials and Methods II,3,N/A,N/A
CM 220,Construction Materials and Methods II,3,N/A,N/A
CM 222,Introduction to Statics and Mechanics of Materials,3,N/A,N/A
Prerequisites: PHYS,"101, MATH 113 or MATH 115 or",MATH,N/A,N/A
CM 271,Civil Engineering Measurements,2,N/A,N/A
Prerequisites: MATH,113 or MATH 115 or,MATH,N/A,N/A
CM 297,Construction Professional Practice,1,N/A,N/A
Prerequisites: CM,"108,",CM,N/A,N/A
CM 300,Construction Safety,3,N/A,N/A
CM 300,Construction Safety,3,N/A,N/A
CM 310,Estimating I,3,N/A,N/A
Prerequisites: MATH,113 or MATH 115 or,MATH,N/A,N/A
CM 330,Planning and Scheduling,3,N/A,N/A
CM 330,Planning and Scheduling,3,N/A,N/A
CM 340,Construction Project Management,3,N/A,N/A
Prerequisites: CM,"220, CM 222,",CM,N/A,N/A
CM 350,Mechanical and Electrical Systems for,Construction3,N/A,N/A
CM 350,Mechanical and Electrical Systems for,Construction3,N/A,N/A
CM 380,(3.00) Construction Equipment Management,3,N/A,N/A
Prerequisites: CM,"220,",CM,N/A,N/A
CM 398,CPT: Co-Operative Experience,0,N/A,N/A
CM 410,Estimating II,3,N/A,N/A
Prerequisites: CM,"310,",CM,N/A,N/A
CM 450,Construction Capstone Project,3,N/A,N/A
CM 450,Construction Capstone Project,3,N/A,N/A
CM 492,Construction Management Seminar,3,Senior Standing or instructor permission,N/A
CM 497,Internship,1-12,N/A,N/A
Prerequisites: CM,"300, CM 310,",CM,N/A,N/A
CM 499,(1-4) Individual Study,1-4,N/A,N/A
CORR 417,Program Administration,3,N/A,N/A
CORR 417,Program Administration,3,N/A,N/A
244 2024-2025,Undergraduate,Catalog,N/A,N/A
CORR 497,Capstone Seminar,2,N/A,N/A
CORR 497,Capstone Seminar,2,Completion of all other required CORR courses.,N/A
CSP 110,Decision Making for Career and Life,3,N/A,N/A
CSP 115,Processes & Skills for Facilitating Effective Change,3,N/A,N/A
CSP 470,Group Procedures,3,N/A,N/A
CSP 471,Interpersonal Helping Skills,3,N/A,N/A
CSP 473,Counseling the Chemically Dependent Family,3,N/A,N/A
CSP 491,Inservice,1-4,N/A,N/A
CSP 499,Individual study,1-4,N/A,N/A
CW 242W,Introduction to Creative Writing,4,N/A,N/A
CW 250,Video Game Narrative,4,N/A,N/A
CW 340,Form and Technique in Prose,4,N/A,N/A
CW 341,Form and Technique in Poetry,4,N/A,N/A
CW 342,Beginning Creative Nonfiction Workshop,4,N/A,N/A
CW 343,Beginning Fiction Workshop,4,N/A,N/A
CW 344,Beginning Poetry Workshop,4,N/A,N/A
CW 430,(1-4) Independent Reading,1-4,N/A,N/A
CW 442,Advanced Creative Nonfiction Workshop,4,N/A,N/A
CW 442,Advanced Creative Nonfiction Workshop,4,N/A,N/A
CW 443,Advanced Fiction Workshop,4,N/A,N/A
CW 444,Advanced Poetry Workshop,4,N/A,N/A
CW 446,Screenwriting Workshop,4,N/A,N/A
CW 447W,Advanced Creative Writing,4,N/A,N/A
CW 448,Contemporary Writers,4,N/A,N/A
CW 449,Topics in Creative Writing Form and Technique,2-4,N/A,N/A
CW 470,Independent Writing,1-4,N/A,N/A
CW 494,Special Topics Workshop,2-4,N/A,N/A
CW 498,Internship,1-4,N/A,N/A
CW 499,(1-4) Individual Study,1-4,N/A,N/A
CJ 101,Introduction to Criminal Justice Systems,3,N/A,Purple
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
CJ 200,Foundations and Orientation to Corrections,3,N/A,N/A
This course,requires students to complete 50 hours of,volunteering,N/A,N/A
CJ 201,Careers in Criminal Justice,3,N/A,N/A
CJ 202,Community Relations and Peacekeeping,3,N/A,N/A
CJ 225,History of Prisons and Punishment,3,N/A,N/A
CJ 231,Criminal Law & Procedures,4,N/A,N/A
CJ 232,"Minnesota Laws, Rules, and Statutes",3,N/A,N/A
CJ 233,Criminal Investigation,3,N/A,N/A
CJ 242,Peace Officers and Human Behavior,3,N/A,N/A
CJ 255,Juvenile Delinquency & Justice,3,N/A,N/A
CJ 261,Policing Patrol Practicals,3,N/A,N/A
CJ 262,Policing Firearms Practicals,3,N/A,N/A
CJ 263,Policing Crime Scene Processing,2,N/A,N/A
CJ 264,Policing Traffic Enforcement Practicals,2,N/A,N/A
CJ 265,Policing Defensive Tactics,2,N/A,N/A
CJ 291,Exploratory Studies,4,N/A,N/A
CJ 309,Drugs and Society,3,N/A,N/A
CJ 310,Research Methods in Criminal Justice &,Criminology3,N/A,N/A
CJ 321,Victims/Survivors: Criminal Justice Response,3,N/A,N/A
CJ 322,Peacekeeping in a Diverse Society I,3,N/A,N/A
246 2024-2025,Undergraduate,Catalog,N/A,N/A
CJ 323,Cultural Competency in Corrections,3,N/A,N/A
CJ 324,Women in the Criminal Justice System,3,N/A,N/A
CJ 331,Peace Officer Stress and Wellness,3,N/A,N/A
CJ 332W,Peace Officer Communication Techniques,3,N/A,N/A
CJ 333,Advanced Criminal Investigation,3,N/A,N/A
of crimes.,This course builds off the foundation,of,N/A,N/A
CJ 334,Physical Wellness for Police,3,N/A,N/A
CJ 350,JOLT: Joint Opportunities to Learn and Thrive,3,N/A,N/A
CJ 355,"JOLT: Joint Opportunity to Learn and Thrive, Part",II3,N/A,N/A
JOLT-II is,a second semester continuation of CORR 350. Can,only,N/A,N/A
CJ 371,Criminal Justice Community Experiences,1,N/A,N/A
CJ 393,Issues in Criminal Justice,1-3,N/A,N/A
CJ 401,Advanced Crime Theory & Prevention,3,N/A,N/A
CJ 402,Criminal Justice Ethics and Leadership,3,N/A,N/A
CJ 421W,Community Corrections,3,N/A,N/A
CJ 422,Community Reentry,3,N/A,N/A
CJ 423,Correctional Counseling,3,N/A,N/A
CJ 429,Evidence Based Practices in Corrections,1-6,N/A,N/A
CJ 430W,Peace Officer Technical Writing,3,N/A,N/A
CJ 432,Peacekeeping in a Diverse Society II,3,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
CJ 433,Peace Officer Senior Seminar,1,N/A,N/A
CJ 441,Federal Agencies and Homeland Security,3,N/A,N/A
CJ 442,Study Tour: Comparative Studies in Terrorism,and,N/A,N/A
CJ 442,Study Tour: Comparative Studies in Terrorism,and,N/A,N/A
CJ 443,Study Tour: Comparative,International,N/A,N/A
CJ 443,Study Tour: Comparative,International,N/A,N/A
CJ 445,Criminal Justice Response to Terrorism,and,N/A,N/A
CJ 445,Criminal Justice Response to Terrorism,and,N/A,N/A
CJ 449,Comparative Criminal Justice Systems,3,N/A,N/A
CJ 451,Administrative Law,4,N/A,N/A
CJ 453,Constitutional Law,4,N/A,N/A
CJ 454,Civil Liberties,4,N/A,N/A
important freedoms,contained in the Bill of Rights and,the,N/A,N/A
Court’s reasoning.,Same as,POL,N/A,N/A
CJ 456,Correctional Law,3,N/A,N/A
CJ 475,Judicial Process,4,N/A,N/A
and on,the dynamics of judicial decision-making. Same as,POL,N/A,N/A
CJ 485,Topics in Criminal Justice,1-3,N/A,N/A
CJ 496,Field Practicum & Capstone,Experience,N/A,N/A
CJ 496,Field Practicum & Capstone,Experience,N/A,N/A
course where,students complete a 400-hour internship,experience,N/A,N/A
CJ 498,Internship,1-6,N/A,N/A
CJ 499,Independent Study,1-3,N/A,N/A
DAK 101,Elementary Dakota I,4,N/A,N/A
DAK 102,Elementary Dakota II,4,N/A,N/A
DAK 201,Intermediate Dakota I,4,N/A,N/A
DAK 202,Intermediate Dakota II,4,N/A,N/A
DANC 120,Introduction to Dance,3,N/A,N/A
248 2024-2025,Undergraduate,Catalog,N/A,N/A
DANC 120W,Introduction to Dance,3,Consent,N/A
DANC 123,Jazz Dance I,2,Consent,N/A
DANC 125,Afro-Caribbean Dance Forms,2,Consent,N/A
DANC 126,Ballet I,2,Consent,N/A
DANC 127,Tap Dance I,2,Consent,N/A
DANC 128,Contemporary Dance I,2,Consent,N/A
DANC 129,Dance Activities,1-2,Consent,N/A
DANC 223,Jazz Dance II,2,Consent,N/A
DANC 225,Worlds of Dance,3,N/A,Purple
Prerequisites: DANC,120,or,N/A,N/A
DANC 226,Ballet II,2,N/A,N/A
DANC 227,Tap Dance II,2,Consent,N/A
DANC 228,Contemporary Dance II,2,N/A,N/A
DANC 320,Dance Somatics,2,N/A,N/A
DANC 321,Dance Composition I,2,N/A,N/A
Prerequisites: DANC,"228, DANC",322.,N/A,N/A
DANC 322,Dance Improvisation,2,Consent,N/A
DANC 323,Jazz Dance III,2,N/A,N/A
DANC 324,Methods and Materials for Teaching Dance,3,N/A,N/A
This course,is first in a two-part series of courses required for,the,N/A,N/A
DANC 326,Ballet III,2,N/A,N/A
DANC 327,Tap Dance III,2,Consent,N/A
DANC 328,Contemporary Dance III,2,N/A,N/A
DANC 329,Dance Practicum,1,Consent.,N/A
DANC 332,Dance Partnering,1,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
DANC 333,Dance Partnering for Theatre,1,Consent,N/A
DANC 421,Dance Composition II,2,N/A,N/A
DANC 421,Dance Composition II,2,N/A,N/A
DANC 424,Dance Pedagogy,3,N/A,N/A
the K-12,Dance Education license. The focus of the course is,on,N/A,N/A
"planning, assessment,",and teaching in a variety of K-12,settings.,N/A,N/A
"planning, assessment,",and teaching in a variety of K-12,settings.,N/A,N/A
DANC 427,Topics in Dance,3,Consent,N/A
DANC 428,Dance Repertory,1,N/A,N/A
DANC 429,Senior Dance Project,1,N/A,N/A
DANC 429,Senior Dance Project,1,N/A,N/A
DANC 430,Choreographic Project I,1,N/A,N/A
DANC 431,Choreographic Project II,1,N/A,N/A
DANC 484,Dance History,3,N/A,N/A
Historical survey,of Western theatrical dance from the 1500’s,to,N/A,N/A
Prerequisites: DANC,"120, DANC 225, DANC 226, DANC 228,",DANC,N/A,N/A
DANC 484W,Dance History,3,N/A,N/A
DANC 484W,Dance History,3,N/A,N/A
DANC 497,(1-8) Dance Internship,1-8,consent,N/A
DANC 499,(1-3) Individual Study,1-3,consent,N/A
DHYG 100,Perspectives in Dental Hygiene,1,N/A,N/A
DHYG 101,Introduction to Dental Professions,1,N/A,N/A
DHYG 219,Head and Neck Anatomy and Histology,2,Admission into the Dental Hygiene Program,N/A
DHYG 223,Pharmacology,3,N/A,N/A
Prerequisites: BIOL,"220, CHEM 106 or",CHEM,N/A,N/A
DHYG 225,Oral Anatomy,2,N/A,N/A
DHYG 311,Preclinical Orientation,3,N/A,N/A
DHYG 313,Clinical Skills Development,3,N/A,N/A
DHYG 321,Radiography I,3,N/A,N/A
250 2024-2025,Undergraduate,Catalog,N/A,N/A
DHYG 322,Biomaterials I,2,N/A,N/A
DHYG 326,Biomaterials II,2,N/A,N/A
DHYG 327,Periodontology I,2,N/A,N/A
DHYG 328,Radiography II,2,N/A,N/A
DHYG 329,Oral Embryology and Pathology,3,N/A,N/A
DHYG 331,Clinical Dental Hygiene I,2,N/A,N/A
DHYG 332,Clinical Seminar I,2,N/A,N/A
This course,is designed to reinforce topics covered in,DHYG,N/A,N/A
needs as,identified in,DHYG,N/A,N/A
DHYG 333,Clinical Dental Hygiene IS,2,N/A,N/A
DHYG 334,Dental Practice Management,1,N/A,N/A
DHYG 336,Culturally Aware Health Care,3,N/A,Gold
DHYG 420,Local Anesthesia,1,N/A,N/A
DHYG 421,Clinical Dental Hygiene II,3,N/A,N/A
DHYG 422,Clinical Seminar II,1,N/A,N/A
DHYG 424,Nitrous Oxide Sedation,1,N/A,N/A
DHYG 425W,Community Dental Health,3,N/A,N/A
DHYG 426,Dental Hygiene Jurisprudence and Ethics,1,N/A,N/A
DHYG 427,Periodontology II,2,N/A,N/A
DHYG 428,Technology in Dentistry,1,N/A,N/A
DHYG 431,Clinical Dental Hygiene III,3,N/A,N/A
DHYG 432,Clinical Seminar III,2,N/A,N/A
DHYG 435,Community Practicum,2,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
DHYG 437,Dental Management of the,Medically,N/A,N/A
DHYG 437,Dental Management of the,Medically,N/A,N/A
DHYG 438,Advanced Community Practice I,1,N/A,N/A
DHYG 439,Advanced Community Practice II,1,N/A,N/A
DHYG 441,Advanced Dental Hygiene Practice,3,N/A,N/A
DHYG 442,Current Issues in Dental Hygiene,3,N/A,N/A
DHYG 443,Technology in Oral Health,3,N/A,N/A
DHYG 444,Principles of Oral Health Promotion,3,N/A,N/A
based on,the oral health objectives of Healthy,People,N/A,N/A
DHYG 444W,Principles of Oral Health Promotion,3,N/A,N/A
based on,the oral health objectives of Healthy,People,N/A,N/A
DHYG 445,Educational Methods in Dental Hygiene,3,N/A,N/A
DHYG 447,Dental Health Study Abroad,1-3,N/A,Gold
DHYG 451,Dental Hygiene Care Planning,3,N/A,N/A
DHYG 452,Decision Making in Periodontology,3,N/A,N/A
DHYG 453W,Research Methods in Dental Hygiene,3,N/A,N/A
DHYG 454,Oral Health Promotion Practice,3,N/A,N/A
DHYG 454,Oral Health Promotion Practice,3,N/A,N/A
DHYG 455,Educational Practice in Dental Hygiene,3,N/A,N/A
DHYG 455,Educational Practice in Dental Hygiene,3,N/A,N/A
DHYG 456,Oral Medicine and Treatment Planning,2,N/A,N/A
DHYG 460,Restorative Functions Seminar,2,N/A,N/A
Prerequisites: DHYG,"322,",DHYG,N/A,N/A
DHYG 461,Restorative Functions Clinic I,1,N/A,N/A
Prerequisites: DHYG,"322, DHYG 326,",DHYG,N/A,N/A
252 2024-2025,Undergraduate,Catalog,N/A,N/A
DHYG 462,Restorative Functions Clinic II,1,N/A,N/A
Prerequisites: DHYG,"322, DHYG 326, DHYG 460,",DHYG,N/A,N/A
DHYG 499,Individual Study,1-6,N/A,N/A
ECON 100,(3.00) An Introduction to the U.S. Economy,3,N/A,N/A
credit has,"been earned in ECON 201 and/or ECON 202,",or,N/A,N/A
ECON 103W,The Economics of Women’s Issues and Public,Policy,N/A,N/A
the United,States,3,N/A,Purple
ECON 201,Principles of Macroeconomics,3,N/A,N/A
ECON 202,Principles of Microeconomics,3,N/A,N/A
ECON 207,Business Statistics,4,N/A,N/A
Prerequisites: MATH,112,or,N/A,N/A
ECON 301,Introduction to Mathematical Economics,3,N/A,N/A
Prerequisites: ECON,"201, ECON 202, ECON 207, MATH 112",or,N/A,N/A
ECON 305,Money and Banking,3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ECON 314W,Current Economic Issues,3,N/A,N/A
ECON 320W,Gender Issues and Economic Globalization,3,N/A,Purple
Prerequisites: ECON,201 or,ECON,N/A,N/A
ECON 355,Intermediate Microeconomics,3,N/A,N/A
Prerequisites: ECON,"201, ECON 202 and",ECON,N/A,N/A
ECON 356,Intermediate Macroeconomics,3,N/A,N/A
Prerequisites: ECON,"201, ECON 202 and",ECON,N/A,N/A
ECON 403,Labor Economics,3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ECON 405,Central Banking,3,N/A,N/A
ECON 405,Central Banking,3,N/A,N/A
ECON 406,Economics of Unions,3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ECON 411,Urban Economics,3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ECON 412,Resource and Environmental Economics,3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ECON 416,Sports Economics,3,N/A,N/A
ECON 416,Sports Economics,3,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
ECON 420,International Economics,3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ECON 429,Economic Education,3,N/A,N/A
application of,such ideas in the K-12,school,N/A,N/A
ECON 440,Public Finance,3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ECON 450,Economic Development,3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ECON 462W,Econometrics,4,N/A,N/A
ECON 463,Applied Econometrics of Financial Markets,3,N/A,N/A
ECON 463,Applied Econometrics of Financial Markets,3,N/A,N/A
ECON 472,Industrial Organization,3,N/A,N/A
Prerequisites: ECON,"201, ECON 202 and",ECON,N/A,N/A
ECON 480,Seminar in Economics,1-3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ECON 481,Readings in Economics,1-3,N/A,N/A
ECON 491,In-Service,1-3,N/A,N/A
ECON 498,Internship,1-3,N/A,N/A
Prerequisites: ECON,"207, ECON 355,",ECON,N/A,N/A
ECON 499,Individual Study,1-3,N/A,N/A
Prerequisites: ECON,201 and,ECON,N/A,N/A
ED 101,Introduction to Critical Race Theory in Education,3,N/A,N/A
ED 210,Independent Study,1-10,N/A,N/A
ED 220,Field Study,1-10,N/A,N/A
ED 230,Individual Study,1-10,N/A,N/A
ED 240,Research,1-10,N/A,N/A
ED 250,Internship,1-10,N/A,N/A
ED 310,Independent Study,1-10,N/A,N/A
ED 320,Field Study,1-10,N/A,N/A
ED 330,Individual Study,1-10,N/A,N/A
ED 340,Research,1-10,N/A,N/A
ED 350,Internship,1-10,N/A,N/A
ED 400,Seminar,1-10,N/A,N/A
ED 420,Field Study,1-10,N/A,N/A
ED 430,Individual Study,1-10,N/A,N/A
ED 440,Research,1-10,N/A,N/A
ED 450,Internship,1-10,N/A,N/A
ED 490,Workshop,1-3,N/A,N/A
ED 499,Individual Study,1-4,N/A,N/A
Educational Studies:,k-12 &,Secondary,N/A,N/A
KSP 106,Education & Culture in the United States,1,International Student,N/A
KSP 150,Exploring Careers in Education,3,N/A,Gold
KSP 200,Critical Issues in Public Education,3,N/A,Gold
254 2024-2025,Undergraduate,Catalog,N/A,N/A
KSP 202,Technology Integration in the Classroom,1,N/A,N/A
integrate technology,to improve learning for PK-12,students.,N/A,N/A
KSP 220W,Human Relations in a Multicultural Society,3,N/A,N/A
to educational,settings. There will be 30 hours of,field,N/A,N/A
outside of,class (collaborative for KSP 222 and 220W).,Meets,N/A,Gold
