Course Number,Course Name,Credit Count,Prerequisites/Color Group
CIVE,436 Civil Engineering Experimentation II,2,"CIVE 350, CIVE 360, CIVE 380"
CIVE,446 Reinforced Concrete Design,3,CIVE 340
CIVE,447 Prestressed Concrete Design,3,CIVE 340
CIVE,448 Steel Design,3,CIVE 340
CIVE,452 Open Channel Flow,3,CIVE 350
CIVE,454 Hydraulic Structures,3,CIVE 350
CIVE,455 Agricultural Drainage and Runoff,3,CIVE 350
CIVE,458 Stormwater Management,3,CIVE 350
CIVE,461 Fundamentals of Pavement Design,3,"ME 223, CIVE 235"
CIVE,465 Foundation Design,3,CIVE 360
CIVE,467 Earth Structures,3,CIVE 360
CIVE,470 Traffic Engineering,3,CIVE 370W
CIVE,471 Highway Planning and Design,3,CIVE 370W
CIVE,475 Rural and Agricultural Transportation Design,3,CIVE 370W
CIVE,476 Planning and Design of Airports,3,CIVE 370W
CIVE,478W Transportation Asset Management,3,CIVE 370W
Distribution,,3,CIVE 380
CIVE,484 Landfill and Hazardous Waste Engineering,3,CIVE 380
CIVE,491 In-Service,1-4,N/A
CIVE,494 Global Experience in Engineering and,Technology1,N/A
CIVE,497 Internship,1-6,N/A
CIVE,499 Individual Study,1-6,N/A
COMM,100 Fundamentals of Communication,3,N/A
COMM,102 Public Speaking,3,N/A
COMM,105W Interpersonal Communication,4,N/A
COMM,110 Media and Society,4,Purple
COMM,183 Introduction to Game Design and Storytelling,4,N/A
COMM,198 Newsgathering Practicum,1,Purple
COMM,199 Public Relations Practicum,1,N/A
COMM,201 Small Group Communication,2-4,N/A
COMM,202 Nonverbal Communication,4,N/A
COMM,203 Intercultural Communication,4,Purple
COMM,215 Effective Listening,2,N/A
COMM,217 Experiential Storytelling,4,Gold
COMM,220 Speech and Debate,0-4,N/A
delivery.,Requirements vary based on number of credits,and,N/A
COMM,221W Media Writing Fundamentals,4,N/A
COMM,224 Foundations in Music Industry,4,N/A
COMM,233 Public Relations Principles,4,N/A
COMM,240 Special Topics,1-4,N/A
COMM,242 Preparing for Advocacy,4,N/A
COMM,260 Principles of Visual Mass Media,4,Purple
COMM,280 Social Media and Society,4,N/A
COMM,300 Foundation Seminar,2,N/A
Perspectives,,4,N/A
COMM,302 Argumentation,4,N/A
COMM,306 Strategic Communication Research Methods,4,N/A
COMM,307 Data Storytelling,4,N/A
COMM,310 Performance of Literature,4,N/A
COMM,312 Professional Communication and Interviewing,4,N/A
COMM,314 Music Management and Concert Production,4,N/A
COMM,"315 Ethics, Free Speech, and Free Press",4,N/A
COMM,320 Advanced Speech and Debate,0-4,N/A
COMM,321 Argumentation and Debate,4,N/A
COMM,325W Reporting and Editing,4,N/A
COMM,326 Interpersonal Communication in Leadership,4,N/A
COMM,330W Multimedia Storytelling,4,N/A
COMM,333 Advanced Public Communication,4,N/A
COMM,334 Writing & Speaking for Broadcast,4,N/A
COMM,335 Communication and Community,4,N/A
COMM,340 Special Topics,1-4,N/A
COMM,351 Visual Storytelling,4,N/A
COMM,353 Creative Advertising Principles,4,N/A
COMM,360 Applied Media Design,4,N/A
COMM,370 Foundations of Health Communication,4,N/A
COMM,374 Digital Music 1,4,N/A
COMM,375 Projects in Music Industry,4,N/A
COMM,383 Game Theory and Criticism,4,N/A
COMM,398 CPT: Co-Operative Experience,0,N/A
COMM,400 Advanced Seminar,4,N/A
COMM,405 Strategic Advocacy Campaigns,4,N/A
COMM,409 Performance Studies,4,N/A
COMM,410 Topics in Relational Communication,1-4,N/A
COMM,412 Organizational Communication,4,N/A
COMM,414 Music in the Marketplace,4,N/A
COMM,415 Topics in Rhetoric and Culture,1-4,N/A
COMM,416 Topics in American Public Address,1-4,N/A
COMM,417 Experiential Storytelling,4,Gold
COMM,"418 Gender, Race, and Identity",4,N/A
COMM,"419 Gender, Race, and Media",4,N/A
COMM,420 Mass Media History,4,N/A
Methods,,1-4,N/A
COMM,425 Crisis Communication,4,N/A
COMM,429 Aesthetics and Culture in Music Industry,4,N/A
COMM,430 Social Movements and Advocacy,4,N/A
COMM,432 Grassroots Advocacy and Organizing,4,N/A
COMM,434W Public Relations Writing,4,N/A
COMM,435 Forensics Pedagogy,4,N/A
COMM,436W Specialized Writing,4,N/A
COMM,437 Legal Aspects of the Music Industry,4,N/A
COMM,440 Special Topics,1-4,N/A
COMM,444 Music Promotion and Social Media,4,N/A
COMM,445 Conflict Management,4,N/A
COMM,450 Strategic Communications Case Studies,4,N/A
Sciences,,4,N/A
COMM,"460 Dialogue, Discussion, and Debate",4,N/A
COMM,464 AMP Ensemble,1-4,N/A
COMM,465 Global Media,4,N/A
COMM,469 Advocacy Documentary Production,4,N/A
COMM,470 Topics in Health Communication,4,N/A
COMM,473 Interactive Storytelling,4,N/A
COMM,474 Digital Music 2,4,N/A
COMM,475 Recording Studio,1-4,N/A
COMM,483 Serious Game Design and Criticism,4,N/A
COMM,484 Creative Audio Production,4,N/A
COMM,494 Senior Capstone Seminar,2,N/A
COMM,495 Mass Media Workshop,1-4,N/A
COMM,496 Capstone,1,N/A
COMM,497 Teaching Internship,1-12,N/A
COMM,"498 Internship 1, 5, 6, 7, 8, 9, 10, 11,",12,N/A
COMM,499 (1-2) Individual,Study,N/A
CDIS,201 Observation of Human Communication,3,N/A
CDIS,205 Beginning American Sign Language - Level I,3,N/A
CDIS,220 Basic Audiology,3,N/A
CDIS,290 Introduction to Communication Disorders,3,Purple
CDIS,291 Individual Study,1-3,N/A
CDIS,306 Intermediate American Sign Language - Level II,3,N/A
CDIS,307 Advanced I American Sign Language - Level III,3,N/A
CDIS,308 Conversations in American Sign Language,1,N/A
CDIS,312 Speech and Language Development,3,N/A
CDIS,320 Beginning and Intermediate Audiometrics,2,N/A
CDIS,322 Speech and Hearing Science,3,N/A
Disorders,,3,N/A
CDIS,350W Interprofessional Practice and Research,3,N/A
CDIS,392 Phonetics,3,N/A
CDIS,394 Applied Anatomy and Physiology,3,N/A
CDIS,401 Hearing Disorders,3,N/A
CDIS,402 Child Language Disorders,2,N/A
CDIS,403 Child Language Disorders Lab,1,N/A
Justice,,3,N/A
CDIS,407 Advanced II American Sign Language - Level IV,3,"CDIS 306, CDS 307"
CDIS,408 Seminar in Central Auditory Processing,Disorders3,N/A
Pathologists,,3,N/A
CDIS,410 Neurological Bases of Speech,2,N/A
CDIS,416 Voice and Resonance Disorders,3,N/A
CDIS,420 Advanced Audiometrics,2,N/A
CDIS,421 Aural Rehabilitation,3,N/A
CDIS,422 Hearing Across the Lifespan,2,N/A
Pathology,,1,Concurrent enrollment in CDIS 434
CDIS,434 Clinical Methods in Speech-Language Pathology,2,"Consent, concurrent enrollment in CDIS 431"
CDIS,438 Speech Sound Disorders,3,N/A
CDIS,444 Appraisal and Diagnosis,3,N/A
CDIS,445 Grand Rounds-Foundation,1,N/A
CDIS,446 Grand Rounds-Presentation,2,N/A
Fields,,3,N/A
CDIS,477 Interprofessional Practices,1,N/A
CDIS,491 Inservice,1-6,N/A
CDIS,495 Clinical Practicum: Speech/Language Disorders,2,"3 of the following: 402, 417, 438. CDIS 416 is recommended."
CIS,100 Introduction to Computing and Applications,4,N/A
CIS,101 Introduction to Information Systems,3,N/A
CIS,113 Health Humanities and Health Informatics,4,Purple
CIS,115 Big Ideas of Computer Science,4,N/A
CIS,121 Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121
CIS,122 Data Structures,4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH"
CIS,123 Applied Programming for Healthcare,Professionals4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH"
CIS,201 Introduction to Assistive Technology,2,N/A
CIS,202W Computers in Society,4,N/A
CIS,223 Algorithms,4,MATH 121 and CS 111 or CIS 122 or IT 214
CIS,224 Computer Architecture,4,CS 111 or CIS 122 or IT 214
CIS,296 (1-2) Introduction to Selected Topics,1-2,N/A
CIS,311 Business Application Programming,4,CIS 122
CIS,340 Introduction to Database Systems,4,CIS 121 or an approved substitute.
CIS,342 Fundamentals of Descriptive Analytics,4,CIS 340. Select one: STAT 154 or ECON 207
CIS,350 Information Security,4,EE 107 or CIS 121 or an approved substitute.
CIS,360 Introduction to Networking,4,"CIS 121. Select 1: MATH 113, MATH 115, MATH 121. Or an"
CIS,380 Systems Analysis and Design,4,CIS 340. Select One Course: CIS 122 or CIS 123
CIS,390 International Technology Experience,12,N/A
CIS,393 Career Readiness,1,CIS 121
CIS,398 CPT: Co-Operative Experience,0,CIS 380
Patterns,,4,"CIS 223, CIS 380"
CIS,418 Foundations of Data Science,4,"CIS 223, CIS 340"
CIS,440 Database Management Systems,4,"CIS 340, CIS 380"
CIS,"442 Database Security, Auditing and Disaster Recovery",4,"CIS 350, CIS 440"
CIS,443 Health Information Technology in Clinical,Practice4,"CIS 113, CIS 340"
CIS,444 Data Analytics,4,CIS 440
CIS,450 Information Warfare,4,CIS 350
CIS,460 Network and Security Protocols,4,CIS 360
Programming,,4,CIS 360
CIS,464 Applications of Wireless and Mobile Networks,4,CIS 360
CIS,465 Mobile Device Application Programming,4,"CIS 223, CIS 380"
CIS,480 Software Quality Assurance and Testing,4,"CIS 223, CIS 380"
CIS,482 Human Computer Interaction,4,MATH 121. Select one: STAT 154 or PSYC 201. Select one: CS
CIS,483 Web Application Design and Development,4,CIS 380
CIS,484 Software Engineering,4,"CIS 223, CIS 380"
CIS,485 Game Design and Development,4,"CIS 223, CIS 380"
CIS,495 Seminar in Information Technology,1,Consent.
CIS,496 Selected Topics in Information Technology,1-4,Consent
CIS,497 Internship,1-12,Permanent admission to IT and consent.
CIS,498 Information Technology Capstone,4,Senior standing and consent
CIS,499 Individual Study,1-4,N/A
CS,201W Artificial Intelligence & Science Fiction,4,N/A
CS,230 Introduction to Intelligent Systems,4,CIS 121
CS,271 Introduction to Graphical Programming,3,"EET 113, MATH 121"
CS,294 Workshop,1-3,Consent of instructor
CS,295 Computer Science Seminar,1,N/A
CS,296 Introduction to Selected Topics,1-2,N/A
CS,301 CS Core: Operating Systems,2,"CIS 223, CIS 224 or EE 234, and admission to major."
CS,302 CS Core: Software Engineering & Parallel,Computing2,"CIS 223, CIS 224, and admission to major."
CS,303 CS Core: Programming Languages,2,"CIS 223, CIS 224, and admission to major."
CS,304 CS Core: Databases & Information Security,2,"CIS 223, CIS 224, and admission to major."
CS,306 Network Architectures,2,CIS 223 and CIS 224 or EE 234
CS,308 Applied Algorithms,2,N/A
CS,391 Computer Science Project 1,4,CIS 223 and MATH 280
CS,391W Computer Science Project 1,4,CIS 223 and MATH 280
CS,392 Computer Science Project 2,4,CS 391
CS,392W Computer Science Project 2,4,CS 391W
CS,401 Topics in Operating Systems,2,N/A
CS,403 Topics in Programming Languages,2,N/A
CS,406 Topics in Networking & Communication,2,N/A
CS,410 Topics in Algorithms & Computability,2,Admission to major or permission.
CS,415 Topics in Parallel & Distributed Computing,2,Admission to major or permission.
CS,420 Topics in Architecture & Organization,2,Admission to major or permission.
CS,435 Topics in Intelligent Systems,2,N/A
CS,440 Topics in Information Management,2,N/A
CS,445 Topics in Information Assurance and Security,2,N/A
CS,450 Topics in Computational Science,2,N/A
CS,465 Topics in Graphics & Visualization,2,Admission to major or permission.
CS,470 Topics in Human Computer Interaction,2,Admission to major or permission.
CS,480 Topics in Software Engineering,2,Admission to major or permission.
CS,485 Topics in Platform-Based Development,2,N/A
CS,490W Cognitive Science Senior Capstone,4,Senior standing and successful completion of all core
CS,491 (4.00) Computer Science Capstone 1,4,"CS 301, CS 302, CS 303, CS 304, CS 392"
CS,491W Computer Science Capstone 1,4,"CS 301, CS 302, CS 303, CS 304, CS 392W"
CS,492 Computer Science Capstone 2,4,"CS 491 and (CS 306, CS 401, CS 403, CS 406, CS 410, CS 420,"
CS,492W Computer Science Capstone 2,4,"CS 491W and (CS 306, CS 401, CS 403, CS 406, CS 410, CS"
CS,494 (1-3) Workshop,1-3,Consent of Instructor
CS,495 Computer Science Seminar,1,Admission to major.
CS,496 (1-4) Selected Topics in Computer Science,1-4,Consent
CS,497 (1-6) Internship,1-6,"Permanent admission to the CS major, CS 300, consent."
CS,498W Senior Thesis,4,Senior standing and consent
CS,499 (1-4) Individual Study,1-4,Consent
CM,108 Construction Work Experience,1,N/A
CM,111 Introduction to Construction Management,1,N/A
CM,120 Construction Graphics,3,N/A
CM,130 Construction Documents,2,N/A
CM,210 Construction Materials and Methods I,3,"CM 111, CM 120, CM 130, CIS 101"
CM,220 Construction Materials and Methods II,3,CM 210
CM,222 Introduction to Statics and Mechanics of Materials,3,"PHYS 101, MATH 113 or MATH 115 or MATH 121"
CM,271 Civil Engineering Measurements,2,MATH 113 or MATH 115 or MATH 121
CM,297 Construction Professional Practice,1,"CM 108, CM 210"
CM,300 Construction Safety,3,CM 210
CM,310 Estimating I,3,MATH 113 or MATH 115 or MATH 121
CM,330 Planning and Scheduling,3,N/A
CM,340 Construction Project Management,3,"CM 220, CM 222, CM 297"
CM,350 Mechanical and Electrical Systems for,Construction3,CM 220
CM,380 (3.00) Construction Equipment Management,3,"CM 220, CM 300"
CM,398 CPT: Co-Operative Experience,0,N/A
CM,410 Estimating II,3,"CM 310, CM 330"
CM,450 Construction Capstone Project,3,CM 340
CM,492 Construction Management Seminar,3,Senior Standing or instructor permission
CM,497 Internship,1-12,"CM 300, CM 310, CM 330"
CM,499 (1-4) Individual Study,1-4,N/A
CORR,417 Program Administration,3,SOC 101
CORR,497 Capstone Seminar,2,Completion of all other required CORR courses.
CSP,110 Decision Making for Career and Life,3,N/A
CSP,115 Processes & Skills for Facilitating Effective Change,3,N/A
CSP,470 Group Procedures,3,N/A
CSP,471 Interpersonal Helping Skills,3,N/A
CSP,473 Counseling the Chemically Dependent Family,3,N/A
CSP,491 Inservice,1-4,N/A
CSP,499 Individual study,1-4,N/A
CW,242W Introduction to Creative Writing,4,N/A
CW,250 Video Game Narrative,4,N/A
CW,340 Form and Technique in Prose,4,N/A
CW,341 Form and Technique in Poetry,4,N/A
CW,342 Beginning Creative Nonfiction Workshop,4,N/A
CW,343 Beginning Fiction Workshop,4,N/A
CW,344 Beginning Poetry Workshop,4,N/A
CW,430 (1-4) Independent Reading,1-4,N/A
CW,442 Advanced Creative Nonfiction Workshop,4,CW 340
CW,443 Advanced Fiction Workshop,4,N/A
CW,444 Advanced Poetry Workshop,4,N/A
CW,446 Screenwriting Workshop,4,N/A
CW,447W Advanced Creative Writing,4,N/A
CW,448 Contemporary Writers,4,N/A
CW,449 Topics in Creative Writing Form and Technique,2-4,N/A
CW,470 Independent Writing,1-4,N/A
CW,494 Special Topics Workshop,2-4,N/A
CW,498 Internship,1-4,N/A
CW,499 (1-4) Individual Study,1-4,N/A
CJ,101 Introduction to Criminal Justice Systems,3,Purple
CJ,200 Foundations and Orientation to Corrections,3,N/A
CJ,201 Careers in Criminal Justice,3,N/A
CJ,202 Community Relations and Peacekeeping,3,N/A
CJ,225 History of Prisons and Punishment,3,N/A
CJ,231 Criminal Law & Procedures,4,N/A
CJ,"232 Minnesota Laws, Rules, and Statutes",3,N/A
CJ,233 Criminal Investigation,3,N/A
CJ,242 Peace Officers and Human Behavior,3,N/A
CJ,255 Juvenile Delinquency & Justice,3,N/A
CJ,261 Policing Patrol Practicals,3,N/A
CJ,262 Policing Firearms Practicals,3,N/A
CJ,263 Policing Crime Scene Processing,2,N/A
CJ,264 Policing Traffic Enforcement Practicals,2,N/A
CJ,265 Policing Defensive Tactics,2,N/A
CJ,291 Exploratory Studies,4,N/A
CJ,309 Drugs and Society,3,N/A
CJ,310 Research Methods in Criminal Justice &,Criminology3,N/A
CJ,321 Victims/Survivors: Criminal Justice Response,3,N/A
CJ,322 Peacekeeping in a Diverse Society I,3,N/A
CJ,323 Cultural Competency in Corrections,3,N/A
CJ,324 Women in the Criminal Justice System,3,N/A
CJ,331 Peace Officer Stress and Wellness,3,N/A
CJ,332W Peace Officer Communication Techniques,3,N/A
CJ,333 Advanced Criminal Investigation,3,N/A
CJ,334 Physical Wellness for Police,3,N/A
CJ,350 JOLT: Joint Opportunities to Learn and Thrive,3,N/A
CJ,"355 JOLT: Joint Opportunity to Learn and Thrive, Part",II3,N/A
CJ,371 Criminal Justice Community Experiences,1,N/A
CJ,393 Issues in Criminal Justice,1-3,N/A
CJ,401 Advanced Crime Theory & Prevention,3,N/A
CJ,402 Criminal Justice Ethics and Leadership,3,N/A
CJ,421W Community Corrections,3,N/A
CJ,422 Community Reentry,3,N/A
CJ,423 Correctional Counseling,3,N/A
CJ,429 Evidence Based Practices in Corrections,1-6,N/A
CJ,430W Peace Officer Technical Writing,3,N/A
CJ,432 Peacekeeping in a Diverse Society II,3,N/A
CJ,433 Peace Officer Senior Seminar,1,N/A
CJ,441 Federal Agencies and Homeland Security,3,N/A
Violence,,3,N/A
Systems,,3,N/A
CJ,449 Comparative Criminal Justice Systems,3,N/A
CJ,451 Administrative Law,4,N/A
CJ,453 Constitutional Law,4,N/A
CJ,454 Civil Liberties,4,N/A
CJ,456 Correctional Law,3,N/A
CJ,475 Judicial Process,4,N/A
CJ,485 Topics in Criminal Justice,1-3,N/A
Corrections,,12,N/A
CJ,498 Internship,1-6,N/A
CJ,499 Independent Study,1-3,N/A
DAK,101 Elementary Dakota I,4,N/A
DAK,102 Elementary Dakota II,4,N/A
DAK,201 Intermediate Dakota I,4,N/A
DAK,202 Intermediate Dakota II,4,N/A
DANC,120 Introduction to Dance,3,N/A
DANC,120W Introduction to Dance,3,Consent
DANC,123 Jazz Dance I,2,Consent
DANC,125 Afro-Caribbean Dance Forms,2,Consent
DANC,126 Ballet I,2,Consent
DANC,127 Tap Dance I,2,Consent
DANC,128 Contemporary Dance I,2,Consent
DANC,129 Dance Activities,1-2,Consent
DANC,223 Jazz Dance II,2,Consent
DANC,225 Worlds of Dance,3,Purple
DANC,226 Ballet II,2,N/A
DANC,227 Tap Dance II,2,Consent
DANC,228 Contemporary Dance II,2,N/A
DANC,320 Dance Somatics,2,N/A
DANC,321 Dance Composition I,2,"DANC 228, DANC 322. Consent"
DANC,322 Dance Improvisation,2,Consent
DANC,323 Jazz Dance III,2,N/A
DANC,324 Methods and Materials for Teaching Dance,3,N/A
DANC,326 Ballet III,2,N/A
DANC,327 Tap Dance III,2,Consent
DANC,328 Contemporary Dance III,2,N/A
DANC,329 Dance Practicum,1,Consent.
DANC,332 Dance Partnering,1,N/A
DANC,333 Dance Partnering for Theatre,1,Consent
DANC,421 Dance Composition II,2,DANC 321
DANC,424 Dance Pedagogy,3,DANC 324
DANC,427 Topics in Dance,3,Consent
DANC,428 Dance Repertory,1,N/A
DANC,429 Senior Dance Project,1,DANC 484W
DANC,484 Dance History,3,"DANC 120, DANC 225, DANC 226, DANC 228, DANC 321"
DANC,484W Dance History,3,DANC 225
DANC,497 (1-8) Dance Internship,1-8,consent
DANC,499 (1-3) Individual Study,1-3,consent
DHYG,100 Perspectives in Dental Hygiene,1,N/A
DHYG,101 Introduction to Dental Professions,1,N/A
DHYG,219 Head and Neck Anatomy and Histology,2,Admission into the Dental Hygiene Program
DHYG,223 Pharmacology,3,"BIOL 220, CHEM 106 or CHEM 111"
DHYG,225 Oral Anatomy,2,N/A
DHYG,311 Preclinical Orientation,3,N/A
DHYG,313 Clinical Skills Development,3,N/A
DHYG,321 Radiography I,3,N/A
DHYG,322 Biomaterials I,2,N/A
DHYG,326 Biomaterials II,2,N/A
DHYG,327 Periodontology I,2,N/A
DHYG,328 Radiography II,2,N/A
DHYG,329 Oral Embryology and Pathology,3,N/A
DHYG,331 Clinical Dental Hygiene I,2,N/A
DHYG,332 Clinical Seminar I,2,N/A
DHYG,333 Clinical Dental Hygiene IS,2,N/A
DHYG,334 Dental Practice Management,1,N/A
DHYG,336 Culturally Aware Health Care,3,Gold
DHYG,420 Local Anesthesia,1,N/A
DHYG,421 Clinical Dental Hygiene II,3,N/A
DHYG,422 Clinical Seminar II,1,N/A
DHYG,424 Nitrous Oxide Sedation,1,N/A
DHYG,425W Community Dental Health,3,N/A
DHYG,426 Dental Hygiene Jurisprudence and Ethics,1,N/A
DHYG,427 Periodontology II,2,N/A
DHYG,428 Technology in Dentistry,1,N/A
DHYG,431 Clinical Dental Hygiene III,3,N/A
DHYG,432 Clinical Seminar III,2,N/A
DHYG,435 Community Practicum,2,N/A
Patient,,2,N/A
DHYG,441 Advanced Dental Hygiene Practice,3,N/A
DHYG,442 Current Issues in Dental Hygiene,3,N/A
DHYG,443 Technology in Oral Health,3,N/A
DHYG,444 Principles of Oral Health Promotion,3,N/A
DHYG,444W Principles of Oral Health Promotion,3,N/A
DHYG,445 Educational Methods in Dental Hygiene,3,N/A
DHYG,447 Dental Health Study Abroad,1-3,Gold
DHYG,451 Dental Hygiene Care Planning,3,N/A
DHYG,452 Decision Making in Periodontology,3,N/A
DHYG,453W Research Methods in Dental Hygiene,3,N/A
DHYG,454 Oral Health Promotion Practice,3,DHYG 444
DHYG,455 Educational Practice in Dental Hygiene,3,DHYG 445
DHYG,456 Oral Medicine and Treatment Planning,2,N/A
DHYG,460 Restorative Functions Seminar,2,"DHYG 322, DHYG 326"
DHYG,499 Individual Study,1-6,N/A
ECON,100 (3.00) An Introduction to the U.S. Economy,3,N/A
the,United States,3,Purple
ECON,201 Principles of Macroeconomics,3,N/A
ECON,202 Principles of Microeconomics,3,N/A
ECON,207 Business Statistics,4,MATH 112 or equivalent
ECON,301 Introduction to Mathematical Economics,3,"ECON 201, ECON 202, ECON 207, MATH 112 or equivalent"
ECON,305 Money and Banking,3,ECON 201 and ECON 202
ECON,314W Current Economic Issues,3,N/A
ECON,320W Gender Issues and Economic Globalization,3,Purple
ECON,355 Intermediate Microeconomics,3,"ECON 201, ECON 202 and ECON 301"
ECON,356 Intermediate Macroeconomics,3,"ECON 201, ECON 202 and ECON 301"
ECON,403 Labor Economics,3,ECON 201 and ECON 202
ECON,405 Central Banking,3,ECON 305
ECON,406 Economics of Unions,3,ECON 201 and ECON 202
ECON,411 Urban Economics,3,ECON 201 and ECON 202
ECON,412 Resource and Environmental Economics,3,ECON 201 and ECON 202
ECON,416 Sports Economics,3,ECON 202
ECON,420 International Economics,3,ECON 201 and ECON 202
ECON,429 Economic Education,3,N/A
ECON,440 Public Finance,3,ECON 201 and ECON 202
ECON,450 Economic Development,3,ECON 201 and ECON 202
ECON,462W Econometrics,4,N/A
ECON,463 Applied Econometrics of Financial Markets,3,ECON 207
ECON,472 Industrial Organization,3,"ECON 201, ECON 202 and ECON 207"
ECON,480 Seminar in Economics,1-3,ECON 201 and ECON 202
ECON,481 Readings in Economics,1-3,N/A
ECON,491 In-Service,1-3,N/A
ECON,498 Internship,1-3,"ECON 207, ECON 355, ECON 356"
ECON,499 Individual Study,1-3,ECON 201 and ECON 202
ED,101 Introduction to Critical Race Theory in Education,3,N/A
ED,210 Independent Study,1-10,N/A
ED,220 Field Study,1-10,N/A
ED,230 Individual Study,1-10,N/A
ED,240 Research,1-10,N/A
ED,250 Internship,1-10,N/A
ED,310 Independent Study,1-10,N/A
ED,320 Field Study,1-10,N/A
ED,330 Individual Study,1-10,N/A
ED,340 Research,1-10,N/A
ED,350 Internship,1-10,N/A
ED,400 Seminar,1-10,N/A
ED,420 Field Study,1-10,N/A
ED,430 Individual Study,1-10,N/A
ED,440 Research,1-10,N/A
ED,450 Internship,1-10,N/A
ED,490 Workshop,1-3,N/A
ED,499 Individual Study,1-4,N/A
KSP,106 Education & Culture in the United States,1,International Student
KSP,150 Exploring Careers in Education,3,Gold
KSP,200 Critical Issues in Public Education,3,Gold
KSP,202 Technology Integration in the Classroom,1,N/A
KSP,220W Human Relations in a Multicultural Society,3,Gold
KSP,222 Introduction to the Learner and Learning,2,N/A
KSP,235 Human Development,3,N/A
KSP,330 Planning and Instruction in the Classroom,3,N/A
KSP,334 Assessment & Evaluation,3,N/A
"Families,",and Community,3,N/A
Classrooms,,3,N/A
KSP,450 Human Relations in a Multicultural Society,3,N/A
KSP,464 Professional Seminar,1,N/A
KSP,476 K-12 Student Teaching,11,Admission to student teaching.
KSP,477 5-12 Student Teaching,11,admission to student teaching.
KSP,480 Seminar,1-3,N/A
KSP,482 (3-6) Enrichment Experience Secondary,3-6,N/A
KSP,489 Selected Topics,1-3,N/A
KSP,490 Workshop,1-6,N/A
KSP,491 In-Service,1-4,N/A
KSP,497 Internship,1-8,N/A
KSP,499 Individual Study,1-6,N/A
Computer,Engineers,3,MATH 112
Software,Development,3,N/A
EE,230 Circuit Analysis I,3,"PHYS 222 or concurrent, MATH 321 or concurrent"
EE,231 Circuit Analysis II,3,"EE 230 and EE 240, MATH 321, PHYS 222"
EE,234 Microprocessor Engineering I,3,EE 107 or EET 142
EE,244 Introduction to Digital Systems,2,N/A
EE,245 Robotics Programming and Algorithms,3,CIS 122
EE,281 Digital System Design with Testability,3,"EE 106, EE 107"
EE,298 Topics,1-4,to be determined by course topic
EE,303 Introduction to Solid State Devices,3,"PHYS 222, and MATH 321"
EE,332 Electronics I,3,EE 231
EE,333 Electronics II,3,EE 332
EE,334 Microprocessor Engineering II,3,Junior Standing
EE,341 Signals & Systems,3,EE 230. MATH 321 and PHYS 222
EE,350 Engineering Electromagnetics,3,"EE 231, MATH 223, MATH 321 and PHYS 222"
EE,353 Communication Systems Engineering,3,"EE 341, MATH 223"
EE,358 Control Systems,3,EE 341
EE,390 Smart Sensor Systems,3,EE334 & EE344
EE,395 Computer Hardware and Organization,3,"EE 234, EE 235, EE 281"
EE,398 CPT: Co-Operative Experience,0,EE 235. At least 60 credits earned; in good standing;
Prerequisites:,EE 235. At least 60 credits earned; in,good,N/A
EE,445 Mobile Robotics,3,EE 358
EE,450 Engineering Economics,3,Advanced standing in the program
EE,453 Advanced Communications Systems Engineering,3,EE 353 and EE 363
EE,463 Advanced Digital System Design,3,EE 244
EE,467W Principles of Engineering Design III,1-2,"EE 332, EE 337, EE 341, EE 358. Select One Course: EE 333,"
EE,470 Wireless Networking,3,N/A
EE,471 Advanced Control Systems,3,EE 358 and EE 368
EE,472 Digital Signal Processing,3,EE 341
EE,473 Electrical Power Systems Analysis and Design,3,EE 231 or via permission from instructor
EE,474 Power Electronics,4,EE 333
EE,475 Integrated Circuit Engineering,3,EE 303 and EE 332
EE,"476 Antennas, Propagation, & Microwave Engineering",3,EE 350
EE,477W Principles of Engineering Design IV,1-2,EE 467 and Senior Standing
EE,479 Superconductive Devices,3,EE 303
EE,482 Electromechanics,3,EE 230
EE,483 Introduction to Smart Grid,3,EE333
EE,484 VLSI Design,3,EE 333
EE,485 ASIC Design,4,EE 484
EE,486 Signal and Power Integrity,3,EE 231. EE 341
EE,487 RF Systems Engineering,3,EE 353 and EE 363
EE,488 PLC Application in Modern Industrial Automation,4,N/A
EE,489 Real-time Embedded Systems,4,"EE 107, EE 334, EE 395"
EE,490 Engineering Applications of AI and ML,3,"EE 341, EE 353"
EE,491 In-Service,1-4,N/A
EE,497 Internship,1-6,N/A
EE,498 Topics,1-4,to be determined by course topic
EE,499 (1-6) Individual Study,1-6,N/A
EET,112 Elementary Electricity and Electronics,3,N/A
EET,113 DC Circuits,3,MATH 112 or MATH 115
EET,114 AC Circuits,3,MATH 113 or MATH 115 may be taken concurrently.
EET,115 Understanding Computers,3,N/A
EET,"116 Communications-Past, Present & Future",3,N/A
EET,117 Introduction to Digital Electronics,3,N/A
EET,"118 Electricity - Generation, Usage & Green",Alternatives3,Purple
EET,125 Perspective on Technology,3,N/A
EET,141 Integrated Computer Technology I,4,N/A
EET,142 Integrated Computer Technology II,4,EET 141
EET,143 Integrated Computer Technology III,4,"EE 107, EET 142"
EET,221 Electronic CAD,3,EET 113
EET,222 Electronics I,4,EET 113
EET,223 Electronics II,4,"MATH 121, PHYS 211, EET 222"
EET,254 Microprocessors I,4,EET 113
EET,298 Topics,1-4,to be determined by course topic
