Course ID,Course Name,Credit Count,Prerequisites
CIS 122,Data Structures,4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH 115, MATH 121, or MATH 130"
CIS 123,Applied Programming for Healthcare Professionals,4,"CIS 121. Select One Course: MATH 112, MATH 113, MATH 115, MATH 121, or MATH 130"
CIS 201,Introduction to Assistive Technology,2,
CIS 202W,Computers in Society,4,
CIS 223,Algorithms,4,MATH 121 and CS 111 or CIS 122 or IT 214
CIS 224,Computer Architecture,4,CS 111 or CIS 122 or IT 214
CIS 296,(1-2) Introduction to Selected Topics,1-2,
CIS 311,Business Application Programming,4,CIS 122
CIS 340,Introduction to Database Systems,4,CIS 121 or an approved substitute.
CIS 342,Fundamentals of Descriptive Analytics,4,CIS 340. Select one: STAT 154 or ECON 207
CIS 350,Information Security,4,EE 107 or CIS 121 or an approved substitute.
CIS 360,Introduction to Networking,4,"CIS 121. Select 1: MATH 113, MATH 115, MATH 121. Or an approved substitute."
CIS 380,Systems Analysis and Design,4,CIS 340. Select One Course: CIS 122 or CIS 123
CIS 390,International Technology Experience,12,
CIS 393,Career Readiness,1,CIS 121
CIS 398,CPT: Co-Operative Experience,0,CIS 380
CIS 414,Advanced Object-Oriented Programming with Design Patterns,4,"CIS 223, CIS 380"
CIS 418,Foundations of Data Science,4,"CIS 223, CIS 340"
CIS 440,Database Management Systems,4,"CIS 340, CIS 380"
CIS 442,"Database Security, Auditing and Disaster Recovery",4,"CIS 350, CIS 440"
CIS 443,Health Information Technology in Clinical Practice,4,"CIS 113, CIS 340"
CIS 444,Data Analytics,4,CIS 440
CIS 450,Information Warfare,4,CIS 350
CIS 460,Network and Security Protocols,4,CIS 360
CIS 462,"Network, Security, Administration and Programming",4,CIS 360
CIS 464,Applications of Wireless and Mobile Networks,4,CIS 360
CIS 465,Mobile Device Application Programming,4,"CIS 223, CIS 380"
CIS 480,Software Quality Assurance and Testing,4,"CIS 223, CIS 380"
CIS 482,Human Computer Interaction,4,MATH 121. Select one: STAT 154 or PSYC 201. Select one: CS 230 or CIS 380
CIS 483,Web Application Design and Development,4,CIS 380
CIS 484,Software Engineering,4,"CIS 223, CIS 380"
CIS 485,Game Design and Development,4,"CIS 223, CIS 380"
CIS 495,Seminar in Information Technology,1,Permanent admission to IT and consent.
CIS 496,Selected Topics in Information Technology,1-4,Consent
CIS 497,Internship,1-12,Permanent admission to IT and consent.
CIS 498,Information Technology Capstone,4,Senior standing and consent
CIS 499,Individual Study,1-4,
CIVE 100,Explorations in Engineering,1,
CIVE 101,Introduction to Engineering – Civil,2,
CIVE 145,CAD for Civil Engineering,2,
CIVE 201,Introduction to Problem Solving and Civil Engineering Design,2,CIVE 101
CIVE 235,Properties of Civil Engineering Materials,3,ME 212
CIVE 271,Civil Engineering Measurements,2,"Select One: MATH 113, MATH 115, MATH 121"
CIVE 297,Internship,1-4,
CIVE 321,Fluid Mechanics,3,ME 214. Select one: ME 241 or ME 299
CIVE 340,Structural Analysis,3,CIVE 223 or ME 223
CIVE 350,Hydraulics and Hydrology,4,"CIVE 321 or ME 321, ME 291"
CIVE 360,Geotechnical Engineering,4,"CIVE 145, ME 291"
CIVE 370W,Transportation Engineering,4,"CIVE 145, ME 291"
CIVE 380,Environmental Engineering,3,Select one: CHEM 201 or GEOL 291
CIVE 398,CPT: Co-Operative Experience,0,CIVE 401W
CIVE 401W,Civil Engineering Design I,2,"ENG 271W, CIVE 340, CIVE 350, CIVE 360, CIVE 370W"
CIVE 402W,Civil Engineering Design II,3,CIVE 401W
CIVE 412,Advanced Surveying,3,
CIVE 415,Boundary Survey and Law,3,
CIVE 417,Surveying Capstone,2,
CIVE 432,Properties of Concrete,3,ME 223
CIVE 435,Civil Engineering Experimentation I,2,"CIVE 235, CIVE 340"
CIVE 436,Civil Engineering Experimentation II,2,"CIVE 350, CIVE 360, CIVE 380"
CIVE 446,Reinforced Concrete Design,3,CIVE 340
CIVE 447,Prestressed Concrete Design,3,CIVE 340
CIVE 448,Steel Design,3,CIVE 340
CIVE 452,Open Channel Flow,3,CIVE 350
CIVE 454,Hydraulic Structures,3,CIVE 350
CIVE 455,Agricultural Drainage and Runoff,3,CIVE 350
CIVE 458,Stormwater Management,3,CIVE 350
CIVE 461,Fundamentals of Pavement Design,3,"ME 223, CIVE 235"
CIVE 465,Foundation Design,3,CIVE 360
CIVE 467,Earth Structures,3,CIVE 360
CIVE 470,Traffic Engineering,3,CIVE 370W
CIVE 471,Highway Planning and Design,3,CIVE 370W
CIVE 475,Rural and Agricultural Transportation Design,3,CIVE 370W
CIVE 476,Planning and Design of Airports,3,CIVE 370W
CIVE 478W,Transportation Asset Management,3,CIVE 370W
CIVE 481,"Water & Wastewater Treatment, Collection & Distribution",3,CIVE 380
CIVE 484,Landfill and Hazardous Waste Engineering,3,CIVE 380
CIVE 491,In-Service,1-4,
CIVE 494,Global Experience in Engineering and Technology,1,
CIVE 497,Internship,1-6,
CIVE 499,Individual Study,1-6,
CJ 101,Introduction to Criminal Justice Systems,3,
CJ 200,Foundations and Orientation to Corrections,3,
CJ 201,Careers in Criminal Justice,3,
CJ 202,Community Relations and Peacekeeping,3,
CJ 225,History of Prisons and Punishment,3,
CJ 231,Criminal Law & Procedures,4,
CJ 232,"Minnesota Laws, Rules, and Statutes",3,
CJ 233,Criminal Investigation,3,
CJ 242,Peace Officers and Human Behavior,3,
CJ 255,Juvenile Delinquency & Justice,3,
CJ 261,Policing Patrol Practicals,3,
CJ 262,Policing Firearms Practicals,3,
CJ 263,Policing Crime Scene Processing,2,
CJ 264,Policing Traffic Enforcement Practicals,2,
CJ 265,Policing Defensive Tactics,2,
CJ 291,Exploratory Studies,4,
CJ 309,Drugs and Society,3,
CJ 310,Research Methods in Criminal Justice & Criminology,3,
CJ 321,Victims/Survivors: Criminal Justice Response,3,
CJ 322,Peacekeeping in a Diverse Society I,3,
CJ 323,Cultural Competency in Corrections,3,
CJ 324,Women in the Criminal Justice System,3,
CJ 331,Peace Officer Stress and Wellness,3,
CJ 332W,Peace Officer Communication Techniques,3,
CJ 333,Advanced Criminal Investigation,3,
CJ 334,Physical Wellness for Police,3,
CJ 350,JOLT: Joint Opportunities to Learn and Thrive,3,
CJ 355,"JOLT: Joint Opportunity to Learn and Thrive, Part II",3,
CJ 371,Criminal Justice Community Experiences,1,
CJ 393,Issues in Criminal Justice,1-3,
CJ 401,Advanced Crime Theory & Prevention,3,
CJ 402,Criminal Justice Ethics and Leadership,3,
CJ 421W,Community Corrections,3,
CJ 422,Community Reentry,3,
CJ 423,Correctional Counseling,3,
CJ 429,Evidence Based Practices in Corrections,1-6,
CJ 430W,Peace Officer Technical Writing,3,
CJ 432,Peacekeeping in a Diverse Society II,3,
CJ 433,Peace Officer Senior Seminar,1,
CJ 441,Federal Agencies and Homeland Security,3,
CJ 442,Study Tour: Comparative Studies in Terrorism and Political Violence,3,
CJ 443,Study Tour: Comparative International Justice Systems,3,
CJ 445,Criminal Justice Response to Terrorism and Political Violence,3,
CJ 449,Comparative Criminal Justice Systems,3,
CJ 451,Administrative Law,4,
CJ 453,Constitutional Law,4,
CJ 454,Civil Liberties,4,
CJ 456,Correctional Law,3,
CJ 475,Judicial Process,4,
CJ 485,Topics in Criminal Justice,1-3,
CJ 496,Field Practicum & Capstone Experience in Corrections,12,
CJ 498,Internship,1-6,
CJ 499,Independent Study,1-3,
CM 108,Construction Work Experience,1,
CM 111,Introduction to Construction Management,1,
CM 120,Construction Graphics,3,
CM 130,Construction Documents,2,
CM 210,Construction Materials and Methods I,3,"CM 111, CM 120, CM 130, CIS 101"
CM 220,Construction Materials and Methods II,3,CM 210
CM 222,Introduction to Statics and Mechanics of Materials,3,"PHYS 101, MATH 113 or MATH 115 or MATH 121"
CM 271,Civil Engineering Measurements,2,MATH 113 or MATH 115 or MATH 121
CM 297,Construction Professional Practice,1,"CM 108, CM 210"
CM 300,Construction Safety,3,CM 210
CM 310,Estimating I,3,MATH 113 or MATH 115 or MATH 121
CM 330,Planning and Scheduling,3,
CM 340,Construction Project Management,3,"CM 220, CM 222, CM 297"
CM 350,Mechanical and Electrical Systems for Construction,3,CM 220
CM 380,(3.00) Construction Equipment Management,3,"CM 220, CM 300"
CM 398,CPT: Co-Operative Experience,0,
CM 410,Estimating II,3,"CM 310, CM 330"
CM 450,Construction Capstone Project,3,CM 340
CM 492,Construction Management Seminar,3,"CM 300, CM 310, CM 330"
CM 497,Internship,1-12,"CM 300, CM 310, CM 330"
CM 499,(1-4) Individual Study,1-4,
COMM 100,Fundamentals of Communication,3,
COMM 102,Public Speaking,3,
COMM 105W,Interpersonal Communication,4,
COMM 110,Media and Society,4,
COMM 183,Introduction to Game Design and Storytelling,4,
COMM 198,Newsgathering Practicum,1,
COMM 199,Public Relations Practicum,1,
COMM 201,Small Group Communication,2-4,
COMM 202,Nonverbal Communication,4,
COMM 203,Intercultural Communication,4,
COMM 215,Effective Listening,2,
COMM 217,Experiential Storytelling,4,
COMM 220,Speech and Debate,0-4,
COMM 221W,Media Writing Fundamentals,4,
COMM 224,Foundations in Music Industry,4,
COMM 233,Public Relations Principles,4,
COMM 240,Special Topics,1-4,
COMM 242,Preparing for Advocacy,4,
COMM 260,Principles of Visual Mass Media,4,
COMM 280,Social Media and Society,4,
COMM 300,Foundation Seminar,2,
COMM 301,Communication Studies: Approaches and Perspectives,4,
COMM 302,Argumentation,4,
COMM 306,Strategic Communication Research Methods,4,
COMM 307,Data Storytelling,4,
COMM 310,Performance of Literature,4,
COMM 312,Professional Communication and Interviewing,4,
COMM 314,Music Management and Concert Production,4,
COMM 315,"Ethics, Free Speech, and Free Press",4,
COMM 320,Advanced Speech and Debate,0-4,
COMM 321,Argumentation and Debate,4,
COMM 325W,Reporting and Editing,4,
COMM 326,Interpersonal Communication in Leadership,4,
COMM 330W,Multimedia Storytelling,4,
COMM 333,Advanced Public Communication,4,
COMM 334,Writing & Speaking for Broadcast,4,
COMM 335,Communication and Community,4,
COMM 340,Special Topics,1-4,
COMM 351,Visual Storytelling,4,
COMM 353,Creative Advertising Principles,4,
COMM 360,Applied Media Design,4,
COMM 370,Foundations of Health Communication,4,
COMM 374,Digital Music 1,4,
COMM 375,Projects in Music Industry,4,
COMM 383,Game Theory and Criticism,4,
COMM 398,CPT: Co-Operative Experience,0,
COMM 400,Advanced Seminar,4,
COMM 405,Strategic Advocacy Campaigns,4,
COMM 409,Performance Studies,4,
COMM 410,Topics in Relational Communication,1-4,
COMM 412,Organizational Communication,4,
COMM 414,Music in the Marketplace,4,
COMM 415,Topics in Rhetoric and Culture,1-4,
COMM 416,Topics in American Public Address,1-4,
COMM 417,Experiential Storytelling,4,
COMM 418,"Gender, Race, and Identity",4,
COMM 419,"Gender, Race, and Media",4,
COMM 420,Mass Media History,4,
COMM 421,Communication Studies Teaching and Coaching Methods,1-4,
COMM 425,Crisis Communication,4,
COMM 429,Aesthetics and Culture in Music Industry,4,
COMM 430,Social Movements and Advocacy,4,
COMM 432,Grassroots Advocacy and Organizing,4,
COMM 434W,Public Relations Writing,4,
COMM 435,Forensics Pedagogy,4,
COMM 436W,Specialized Writing,4,
COMM 437,Legal Aspects of the Music Industry,4,
COMM 440,Special Topics,1-4,
COMM 444,Music Promotion and Social Media,4,
COMM 445,Conflict Management,4,
COMM 450,Strategic Communications Case Studies,4,
COMM 457,"Multimedia Production for Agriculture, Food & Life Sciences",4,
COMM 460,"Dialogue, Discussion, and Debate",4,
COMM 464,AMP Ensemble,1-4,
COMM 465,Global Media,4,
COMM 469,Advocacy Documentary Production,4,
COMM 470,Topics in Health Communication,4,
COMM 473,Interactive Storytelling,4,
COMM 474,Digital Music 2,4,
COMM 475,Recording Studio,1-4,
COMM 483,Serious Game Design and Criticism,4,
COMM 484,Creative Audio Production,4,
COMM 494,Senior Capstone Seminar,2,
COMM 495,Mass Media Workshop,1-4,
COMM 496,Capstone,1,
COMM 497,Teaching Internship,1-12,
COMM 498,Internship,"1, 5, 6, 7, 8, 9, 10, 11, 12",
COMM 499,(1-2) Individual Study,1-2,
CORR 417,Program Administration,3,SOC 101
CORR 497,Capstone Seminar,2,Completion of all other required CORR courses.
CS 201W,Artificial Intelligence & Science Fiction,4,
CS 230,Introduction to Intelligent Systems,4,CIS 121
CS 271,Introduction to Graphical Programming,3,Consent of instructor
CS 294,Workshop,1-3,Consent of instructor
CS 295,Computer Science Seminar,1,
CS 296,Introduction to Selected Topics,1-2,
CS 301,CS Core: Operating Systems,2,"CIS 223, CIS 224 or EE 234, and admission to major."
CS 302,CS Core: Software Engineering & Parallel Computing,2,"CIS 223, CIS 224, and admission to major."
CS 303,CS Core: Programming Languages,2,"CIS 223, CIS 224, and admission to major."
CS 304,CS Core: Databases & Information Security,2,"CIS 223, CIS 224, and admission to major."
CS 306,Network Architectures,2,CIS 223 and CIS 224 or EE 234
CS 308,Applied Algorithms,2,
CS 391,Computer Science Project 1,4,CIS 223 and MATH 280
CS 391W,Computer Science Project 1,4,CIS 223 and MATH 280
CS 392,Computer Science Project 2,4,CS 391W
CS 392W,Computer Science Project 2,4,CS 391W
CS 401,Topics in Operating Systems,2,Admission to Major or Permission
CS 403,Topics in Programming Languages,2,Admission to Major or Permission
CS 406,Topics in Networking & Communication,2,Admission to Major or Permission
CS 410,Topics in Algorithms & Computability,2,Admission to major or permission.
CS 415,Topics in Parallel & Distributed Computing,2,Admission to major or permission.
CS 420,Topics in Architecture & Organization,2,Admission to major or permission.
CS 435,Topics in Intelligent Systems,2,Admission to Major or Permission
CS 440,Topics in Information Management,2,Admission to Major or Permission
CS 445,Topics in Information Assurance and Security,2,Admission to Major or Permission
CS 450,Topics in Computational Science,2,Admission to Major or Permission
CS 465,Topics in Graphics & Visualization,2,Admission to major or permission.
CS 470,Topics in Human Computer Interaction,2,Admission to major or permission.
CS 480,Topics in Software Engineering,2,Admission to major or permission.
CS 485,Topics in Platform-Based Development,2,Senior standing and successful completion of all core requirements.
CS 490W,Cognitive Science Senior Capstone,4,Senior standing and successful completion of all core requirements.
CS 491,(4.00) Computer Science Capstone 1,4,"CS 301, CS 302, CS 303, CS 304, CS 392W"
CS 491W,Computer Science Capstone 1,4,"CS 301, CS 302, CS 303, CS 304, CS 392W"
CS 492,Computer Science Capstone 2,4,Consent of Instructor
CS 492W,Computer Science Capstone 2,4,"CS 491W and (CS 306, CS 401, CS 403, CS 406, CS 410, CS 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
CS 494,(1-3) Workshop,1-3,Consent of Instructor
CS 495,Computer Science Seminar,1,Consent
CS 496,(1-4) Selected Topics in Computer Science,1-4,Consent
CS 497,(1-6) Internship,1-6,"Permanent admission to the CS major, CS 300, consent."
CS 498W,Senior Thesis,4,Senior standing and consent
CS 499,Individual Study,1-4,Consent
CSP 110,Decision Making for Career and Life,3,
CSP 115,Processes & Skills for Facilitating Effective Change,3,
CSP 470,Group Procedures,3,
CSP 471,Interpersonal Helping Skills,3,
CSP 473,Counseling the Chemically Dependent Family,3,
CSP 491,Inservice,1-4,
CSP 499,Individual study,1-4,
CW 242W,Introduction to Creative Writing,4,
CW 250,Video Game Narrative,4,
CW 340,Form and Technique in Prose,4,
CW 341,Form and Technique in Poetry,4,
CW 342,Beginning Creative Nonfiction Workshop,4,
CW 343,Beginning Fiction Workshop,4,
CW 344,Beginning Poetry Workshop,4,
CW 430,(1-4) Independent Reading,1-4,
CW 442,Advanced Creative Nonfiction Workshop,4,CW 340
CW 443,Advanced Fiction Workshop,4,
CW 444,Advanced Poetry Workshop,4,
CW 446,Screenwriting Workshop,4,
CW 447W,Advanced Creative Writing,4,
CW 448,Contemporary Writers,4,
CW 449,Topics in Creative Writing Form and Technique,2-4,
CW 470,Independent Writing,1-4,
CW 494,Special Topics Workshop,2-4,
CW 498,Internship,1-4,
CW 499,(1-4) Individual Study,1-4,
DAK 101,Elementary Dakota I,4,
DAK 102,Elementary Dakota II,4,
DAK 201,Intermediate Dakota I,4,
DAK 202,Intermediate Dakota II,4,
DANC 120,Introduction to Dance,3,Consent
DANC 120W,Introduction to Dance,3,Consent
DANC 123,Jazz Dance I,2,Consent
DANC 125,Afro-Caribbean Dance Forms,2,Consent
DANC 126,Ballet I,2,Consent
DANC 127,Tap Dance I,2,Consent
DANC 128,Contemporary Dance I,2,Consent
DANC 129,Dance Activities,1-2,Consent
DANC 223,Jazz Dance II,2,Consent
DANC 225,Worlds of Dance,3,DANC 120 or DANC120W
DANC 226,Ballet II,2,
DANC 227,Tap Dance II,2,Consent
DANC 228,Contemporary Dance II,2,
DANC 320,Dance Somatics,2,
DANC 321,Dance Composition I,2,"DANC 228, DANC 322. Consent"
DANC 322,Dance Improvisation,2,Consent
DANC 323,Jazz Dance III,2,
DANC 324,Methods and Materials for Teaching Dance,3,
DANC 326,Ballet III,2,
DANC 327,Tap Dance III,2,Consent
DANC 328,Contemporary Dance III,2,
DANC 329,Dance Practicum,1,Consent.
DANC 332,Dance Partnering,1,
DANC 333,Dance Partnering for Theatre,1,Consent
DANC 421,Dance Composition II,2,DANC 321
DANC 424,Dance Pedagogy,3,DANC 324
DANC 427,Topics in Dance,3,Consent
DANC 428,Dance Repertory,1,
DANC 429,Senior Dance Project,1,"DANC 430, consent"
DANC 430,Choreographic Project I,1,
DANC 431,Choreographic Project II,1,"DANC 430, consent"
DANC 484,Dance History,3,consent
DANC 484W,Dance History,3,DANC 225
DANC 497,(1-8) Dance Internship,1-8,consent
DANC 499,(1-3) Individual Study,1-3,consent
DHYG 100,Perspectives in Dental Hygiene,1,
DHYG 101,Introduction to Dental Professions,1,
DHYG 219,Head and Neck Anatomy and Histology,2,Admission into the Dental Hygiene Program
DHYG 223,Pharmacology,3,"BIOL 220, CHEM 106 or CHEM 111"
DHYG 225,Oral Anatomy,2,
DHYG 311,Preclinical Orientation,3,
DHYG 313,Clinical Skills Development,3,
DHYG 321,Radiography I,3,
DHYG 322,Biomaterials I,2,
DHYG 326,Biomaterials II,2,
DHYG 327,Periodontology I,2,
DHYG 328,Radiography II,2,
DHYG 329,Oral Embryology and Pathology,3,
DHYG 331,Clinical Dental Hygiene I,2,
DHYG 332,Clinical Seminar I,2,
DHYG 333,Clinical Dental Hygiene IS,2,
DHYG 334,Dental Practice Management,1,
DHYG 336,Culturally Aware Health Care,3,
DHYG 420,Local Anesthesia,1,
DHYG 421,Clinical Dental Hygiene II,3,
DHYG 422,Clinical Seminar II,1,
DHYG 424,Nitrous Oxide Sedation,1,
DHYG 425W,Community Dental Health,3,
DHYG 426,Dental Hygiene Jurisprudence and Ethics,1,
DHYG 427,Periodontology II,2,
DHYG 428,Technology in Dentistry,1,
DHYG 431,Clinical Dental Hygiene III,3,
DHYG 432,Clinical Seminar III,2,
DHYG 435,Community Practicum,2,
DHYG 437,Dental Management of the Medically Compromised Patient,2,
DHYG 438,Advanced Community Practice I,1,
DHYG 439,Advanced Community Practice II,1,
DHYG 441,Advanced Dental Hygiene Practice,3,
DHYG 442,Current Issues in Dental Hygiene,3,
DHYG 443,Technology in Oral Health,3,
DHYG 444,Principles of Oral Health Promotion,3,
DHYG 444W,Principles of Oral Health Promotion,3,
DHYG 445,Educational Methods in Dental Hygiene,3,
DHYG 447,Dental Health Study Abroad,1-3,
DHYG 451,Dental Hygiene Care Planning,3,
DHYG 452,Decision Making in Periodontology,3,
DHYG 453W,Research Methods in Dental Hygiene,3,
DHYG 454,Oral Health Promotion Practice,3,DHYG 444
DHYG 455,Educational Practice in Dental Hygiene,3,DHYG 445
DHYG 456,Oral Medicine and Treatment Planning,2,
DHYG 460,Restorative Functions Seminar,2,"DHYG 322, DHYG 326, DHYG 460, DHYG 461"
DHYG 461,Restorative Functions Clinic I,1,"DHYG 322, DHYG 326, DHYG 460"
DHYG 462,Restorative Functions Clinic II,1,"DHYG 322, DHYG 326, DHYG 460, DHYG 461"
DHYG 499,Individual Study,1-6,
ECON 100,(3.00) An Introduction to the U.S. Economy,3,
ECON 103W,The Economics of Women's Issues and Public Policy in the United States,3,
ECON 201,Principles of Macroeconomics,3,
ECON 202,Principles of Microeconomics,3,
ECON 207,Business Statistics,4,MATH 112 or equivalent
ECON 301,Introduction to Mathematical Economics,3,"ECON 201, ECON 202, ECON 207, MATH 112 or equivalent"
ECON 305,Money and Banking,3,ECON 201 or ECON 202
ECON 314W,Current Economic Issues,3,
ECON 320W,Gender Issues and Economic Globalization,3,ECON 201 or ECON 202
ECON 355,Intermediate Microeconomics,3,"ECON 201, ECON 202 and ECON 301"
ECON 356,Intermediate Macroeconomics,3,"ECON 201, ECON 202 and ECON 301"
ECON 403,Labor Economics,3,ECON 201 and ECON 202
ECON 405,Central Banking,3,ECON 305
ECON 406,Economics of Unions,3,ECON 201 and ECON 202
ECON 411,Urban Economics,3,ECON 201 and ECON 202
ECON 412,Resource and Environmental Economics,3,ECON 201 and ECON 202
ECON 416,Sports Economics,3,ECON 202
ECON 420,International Economics,3,ECON 201 and ECON 202
ECON 429,Economic Education,3,
ECON 440,Public Finance,3,ECON 201 and ECON 202
ECON 450,Economic Development,3,ECON 201 and ECON 202
ECON 462W,Econometrics,4,
ECON 463,Applied Econometrics of Financial Markets,3,ECON 207
ECON 472,Industrial Organization,3,ECON 201 and ECON 202
ECON 480,Seminar in Economics,1-3,ECON 201 and ECON 202
ECON 481,Readings in Economics,1-3,
ECON 491,In-Service,1-3,
ECON 498,Internship,1-3,"ECON 207, ECON 355, ECON 356"
ECON 499,Individual Study,1-3,ECON 201 and ECON 202
ED 101,Introduction to Critical Race Theory in Education,3,
ED 210,Independent Study,1-10,
ED 220,Field Study,1-10,
ED 230,Individual Study,1-10,
ED 240,Research,1-10,
ED 250,Internship,1-10,
ED 310,Independent Study,1-10,
ED 320,Field Study,1-10,
ED 330,Individual Study,1-10,
ED 340,Research,1-10,
ED 350,Internship,1-10,
ED 400,Seminar,1-10,
ED 420,Field Study,1-10,
ED 430,Individual Study,1-10,
ED 440,Research,1-10,
ED 450,Internship,1-10,
ED 490,Workshop,1-3,
ED 499,Individual Study,1-4,
EE 100,Explorations in Engineering,1,
EE 105,Introduction to Electrical and Computer Engineering and Technology,1,
EE 106,Fundamental Digital System Design for Electrical and Computer Engineers,3,MATH 112
EE 107,Intro to Electrical and Computer Engineering Through Software Development,3,
EE 230,Circuit Analysis I,3,"PHYS 222 or concurrent, MATH 321 or concurrent"
EE 231,Circuit Analysis II,3,"EE 230 and EE 240, MATH 321, PHYS 222"
EE 234,Microprocessor Engineering I,3,"EE, 230, EE 231, EE 240"
EE 235,Microprocessor Engineering Laboratory I,1,EE 234
EE 240,Evaluation of Circuits,1,Must be taken concurrently with EE 230.
EE 241,Electric Circuits Lab,1,"EE, 230, EE 231, EE 240"
EE 244,Introduction to Digital Systems,2,
EE 245,Robotics Programming and Algorithms,3,"EE 230, EE 240 and concurrently with EE 231 and EE 244"
EE 253,Logic Circuits Lab,1,EE 230 and concurrent with EE 244.
EE 254,Digital and Circuits Lab,1,"EE 230, EE 240 and concurrently with EE 231 and EE 244"
EE 281,Digital System Design with Testability,3,to be determined by course topic
EE 282,Digital System Design with Testability Lab,1,
EE 298,Topics,1-4,to be determined by course topic
EE 303,Introduction to Solid State Devices,3,"PHYS 222, and MATH 321"
EE 304,Lab: Introduction to Solid State Devices,1,
EE 332,Electronics I,3,EE 231
EE 333,Electronics II,3,EE 332
EE 334,Microprocessor Engineering II,3,EE 336
EE 336,Principles of Engineering Design I,1,Junior Standing
EE 337,Principles of Engineering Design II,1,EE 336
EE 341,Signals & Systems,3,Concurrent with EE 334
EE 342,Electronics Laboratory,1,EE 231 and EE 332 taken concurrently.
EE 343,Electronics II Laboratory,1,"EE 332, EE 333"
EE 344,Microprocessor II Laboratory,1,Concurrent with EE 334
EE 350,Engineering Electromagnetics,3,"EE 231, MATH 223, MATH 321 and PHYS 222"
EE 353,Communication Systems Engineering,3,"EE 341, MATH 223"
EE 358,Control Systems,3,EE 341 and concurrent with EE 358
EE 363,Communication Systems Laboratory,1,Concurrent with EE 353
EE 368,Control Systems Laboratory,1,EE 341 and concurrent with EE 358
EE 390,Smart Sensor Systems,3,EE334 & EE344
EE 395,Computer Hardware and Organization,3,"EE 234, EE 235, EE 281"
EE 398,CPT: Co-Operative Experience,0,EE 235. At least 60 credits earned; in good standing; instructor permission; co-op contract; other prerequisites may also apply.
EE 445,Mobile Robotics,3,EE 358
EE 450,Engineering Economics,3,Advanced standing in the program
EE 453,Advanced Communications Systems Engineering,3,EE 353 and EE 363
EE 463,Advanced Digital System Design,3,"EE 332, EE 337, EE 341, EE 358. Select One Course: EE 333, EE 390. Select One Course: EE 334, EE 353. Select One Course: EE 350, EE 395"
EE 467W,Principles of Engineering Design III,1-2,"EE 332, EE 337, EE 341, EE 358. Select One Course: EE 333, EE 390. Select One Course: EE 334, EE 353. Select One Course: EE 350, EE 395"
EE 470,Wireless Networking,3,
EE 471,Advanced Control Systems,3,EE 358 and EE 368
EE 472,Digital Signal Processing,3,EE 341
EE 473,Electrical Power Systems Analysis and Design,3,EE 231 or via permission from instructor
EE 474,Power Electronics,4,EE 333
EE 475,Integrated Circuit Engineering,3,EE 303 and EE 332
EE 476,"Antennas, Propagation, & Microwave Engineering",3,EE 472
EE 477W,Principles of Engineering Design IV,1-2,EE 467 and Senior Standing
EE 478,Digital Signal Processing Lab,1,EE 472
EE 479,Superconductive Devices,3,Concurrent with EE 484
EE 480,Integrated Circuit Fabrication Lab,1,Concurrent with EE 475
EE 481,VLSI Design Laboratory,1,Concurrent with EE 484
EE 482,Electromechanics,3,EE 230
EE 483,Introduction to Smart Grid,3,EE333
EE 484,VLSI Design,3,EE 333
EE 485,ASIC Design,4,EE 484
EE 486,Signal and Power Integrity,3,EE 231. EE 341
EE 487,RF Systems Engineering,3,EE 353 and EE 363
EE 488,PLC Application in Modern Industrial Automation,4,
EE 489,Real-time Embedded Systems,4,"EE 107, EE 334, EE 395"
EE 490,Engineering Applications of AI and ML,3,to be determined by course topic
EE 491,In-Service,1-4,
EE 494,Global Experience in Engineering and Technology,1,
EE 497,Internship,1-6,
EE 498,Topics,1-4,to be determined by course topic
EE 499,(1-6) Individual Study,1-6,
EET 112,Elementary Electricity and Electronics,3,
EET 113,DC Circuits,3,MATH 112 or MATH 115
EET 114,AC Circuits,3,MATH 113 or MATH 115 may be taken concurrently.
EET 115,Understanding Computers,3,
EET 116,"Communications-Past, Present & Future",3,
EET 117,Introduction to Digital Electronics,3,
EET 118,"Electricity - Generation, Usage & Green Alternatives",3,
EET 125,Perspective on Technology,3,
EET 141,Integrated Computer Technology I,4,
EET 142,Integrated Computer Technology II,4,EET 141
EET 143,Integrated Computer Technology III,4,"EE 107, EET 142"
EET 221,Electronic CAD,3,EET 113
EET 222,Electronics I,4,EET 113
EET 223,Electronics II,4,"MATH 121, PHYS 211, EET 222"
EET 254,Microprocessors I,4,to be determined by course topic
EET 298,Topics,1-4,to be determined by course topic
EET 310,Programming Tools,4,MATH 180
EET 315,Programmable Instrumentation,3,EE 234 and EE 235 OR EET 254
EET 340,Programmable Hardware Technology,4,EE 234 and EE 235 or EET 254
EET 341,Electronic Shop Practices,2,EET 221
EET 355,Electrical Power Systems,4,"EET 114, MATH 127, PHYS 212"
EET 384,Microprocessors II,4,Permission required.
EET 393,Practicum,1-4,Permission required.
EET 398,CPT: Co-Operative Experience,0,EET 223. At least 60 credits earned; in good standing; instructor permission; co-op contract; other prerequisites may also apply.
EET 430,Computer Networking I,4,"MATH 180, EET 384"
EET 431,Computer Networking II,4,EET 430
EET 441,Embedded Systems,4,"MATH 180, EET 384"
EET 452,Operational Amplifier Applications,3,"MATH 127, EET 223"
EET 455,Power Electronics,3,EET 222
EET 456,Analog Communications,4,"25 hours of EET courses, or consent"
