Course Number,Department,Credit Count
Choose,12 Credit,s
American,Sign Language,CERT
Accelerated,Combined Degree,BA/BS and MS
Choose,9 Credit,s
Choose,8 credit,s
Accelerated,Combined Degree,BA/BS and MS
Choose,9 Credit,s
Choose,8 Credit,s
Choose,6 - 10 Credit,s
Applied,Health Science,BS
the,internship site,"e.g., background checks"
deduction,from the final course grade,"e.g., “A-” to “B-”"
Choose,3 - 5 Credit,s
CHEM,106 Chemistry of Life Process Part I,General
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 Credit,s
Choose,9 Credit,s
Choose,6 Credit,s
Choose,4 Credit,s
Applied,Health Science,BS
the,internship site,"e.g., background checks"
deduction,from the final course grade,"e.g., “A-” to “B-”"
Choose,3 - 5 Credit,s
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 Credit,s
Choose,0 - 4 Credit,s
Applied,Health Science,BS
the,internship site,"e.g., background checks"
deduction,from the final course grade,"e.g., “A-” to “B-”"
Choose,3 - 5 Credit,s
CHEM,106 Chemistry of Life Process Part I,General
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 Credit,s
Choose,3 Credit,s
Applied,Health Science,BS
the,internship site,"e.g., background checks"
deduction,from the final course grade,"e.g., “A-” to “B-”"
Choose,3 - 5 Credit,s
CHEM,106 Chemistry of Life Process Part I,General
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 Credit,s
Choose,3 - 4 Credit,s
Choose,3 - 4 Credit,s
Choose,4 Credit,s
Applied,Health Science,BS
the,internship site,"e.g., background checks"
deduction,from the final course grade,"e.g., “A-” to “B-”"
Choose,3 - 5 Credit,s
CHEM,106 Chemistry of Life Process Part I,General
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 Credit,s
Choose,3 Credit,s
Choose,3 - 4 Credit,s
deduction,from the final course grade,"e.g., “A-” to “B-”"
Choose,3 Credit,s
Choose,12 Credit,s
Applied,Leadership,BS
Communication,in Organizations,choose 12 credits
Leadership,in Organizations,choose 12 credits
Area,of Concentration,choose 7-8 credits
Choose,3 Credit,s
Choose,3 Credit,s
Choose,9 Credit,s
Foundation,Courses Select six,6
Choose,0 - 6 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 3 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 3 Credit,s
Choose,0 - 3 Credit,s
Choose,0 - 3 Credit,s
Choose,8 credit,s
Studio,I: Primary Concentration course,300-level
Foundation,Courses Select six,6
Choose,0 - 6 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 3 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 3 Credit,s
Choose,0 - 3 Credit,s
Choose,0 - 3 Credit,s
Choose,6 Credit,s
Choose,6 Credit,s
Advanced,Drawing and Art/Design History Choose 12 Credit,s
Choose,3 - 6 Credit,s
Choose,6 - 9 Credit,s
Choose,21 Credit,s
Choose,1 Credit,s
The,Bachelor of Fine Arts,BFA
Studio,I: Graphic Design course,ART302 and ART304
Foundation,Courses Select four,4
Choose,0 - 6 Credit,s
Choose,0 - 3 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 3 Credit,s
Choose,0 - 3 Credit,s
Choose,0 - 3 Credit,s
Choose,6 Credit,s
Advanced,Drawing and Art/Design History Choose 12 Credit,s
Choose,3 - 6 Credit,s
Choose,6 - 9 Credit,s
Choose,1 Credit,s
Choose,6 Credit,s
Choose,6 Credit,s
Choose,15 Credit,s
Choose,6 Credit,s
Art,History,BA
Choose,3 Credit,s
Choose,3 Credit,s
Choose,3 Credit,s
Choose,9 Credit,s
Choose,6 Credit,s
Choose,8 credit,s
Choose,12 Credit,s
Choose,3 Credit,s
Choose,12 Credit,s
Art,Teaching,BS
Choose,3 Credit,s
Choose,3 Credit,s
Choose,12 Credit,s
Choose,2 - 3 Credit,s
Choose,1 - 2 Credit,s
Athletic,Training,Pre-Athletic Training
•,BIOL 105 General Biology 1,4 credits
•,BIOL 201 Anatomy and Physiology 1,4 credits
Anatomy,and Physiology 2,4 credits
Human,Anatomy,4 credits
•,HLTH 295 Professional Preparation in Health Careers,1 credit
•,HP 314 Physiology of Exercise,3 credits
•,HP 363 Science of Strength Training and Kinesiology,3 credits
•,HP 431 Biomechanics,3 credits
•,STAT 154 Elementary Statistics,4 credits
Methods,and Statistics in Exercise Science,3 credits
•,FCS 140 Introduction to Nutrition,3 credits
for,Healthcare Professionals,3 credits
psychology,course,4 credits
chemistry,course,5 credits
•,PHYS 101 Introductory Physics,3 credits
•,HLTH 101 Health and the Environment,3 credits
•,HLTH 321 Medical Terminology,3 credits
•,HP 340 Prevention and Care,2 credits
•,HLTH 460 Introduction to Epidemiology,3 credits
Training,Education,CAATE
working,for original equipment manufacturers,OEMs
and,Electives) must be completed with a grade of “C”,2.0
Automotive,Engineering Technology,BS
this,bulletin with a grade of “C”,2.0
Choose,3 Credit,s
Choose,48 Credit,s
Choose,6 Credit,s
Federal,Aviation Administration,FAA
reduction,allowed toward the Airline Transport Pilot,ATP
the,major,see above
and,an original passport or original,raised seal
Capstone,courses. Students gain skills in direct current,DC
Choose,6 Credit,s
semesters,of chemistry,"CHEM 201, CHEM 202"
one,semester of Biology,BIOL 105
with,no more than 4 credits of “D”,1.0
is,important that this sequence be taken during the third,junior
Choose,3 - 4 Credit,s
Choose,4 Credit,s
Choose,10 Credit,s
Choose,8 credit,s
semesters,of chemistry,"CHEM 201, CHEM 202"
one,semester of Biology,BIOL 105
with,no more than 4 credits of “D”,1.0
is,important that this sequence be taken during the third,junior
Choose,8 Credit,s
Choose,4 Credit,s
Choose,6 Credit,s
Choose,3 - 4 Credit,s
Choose,3 - 4 Credit,s
Choose,4 - 8 Credit,s
Choose,11 - 12 Credit,s
Choose,9 Credit,s
Choose,8 Credit,s
Choose,3 - 4 Credit,s
Choose,3 - 4 Credit,s
Choose,3 - 5 Credit,s
Choose,5 Credit,s
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,4 Credit,s
Choose,11 - 12 Credit,s
Choose,4 Credit,s
Choose,4 Credit,s
Choose,4 Credit,s
Add’l,Math/Statistics Choose 3 - 4 Credit,s
Capstone,Experience Choose 6 Credit,s
complete,at least 50%,one-half
Choose,9 - 10 Credit,s
Business,Administration,BBA
at,the upper-division,300-400
College,of Business must complete at least 50%,one-half
Business,Analytics,CERT
Choose,6 Credit,s
Choose,4 Credit,s
Business,Law,CERT
Business.,Transfer students must complete at least 50%,one-half
cumulative,grade point average of 2.0,“C”
Choose,12 Credit,s
Choose,3 - 6 Credit,s
Choose,0 - 3 Credit,s
College,of Business. Transfer students must complete at least 50%,onehalf
cumulative,grade point average of 2.0,“C”
Choose,6 Credit,s
Chemistry,- ACS Approved,BS
The,Bachelor of Science,BS
the,American Chemical Society,ACS
All,majors cannot have more than 4 credits of “D”,1.0
Students,who use CHEM 498,Undergraduate Research
that,before taking physical chemistry in the third,junior
must,successfully complete with a grade of “C”,2.0
Choose,3 - 4 Credit,s
Choose,3 Credit,s
Choose,4 Credit,s
All,majors cannot have more than 4 credits of “D”,1.0
Students,who use CHEM 498,Undergraduate Research
that,before taking physical chemistry in the third,junior
must,successfully complete with a grade of “C”,2.0
Choose,3 - 4 Credit,s
Choose,3 Credit,s
Choose,8 credit,s
cannot,have more than 4 credits of “D”,1.0
Students,who use CHEM 498,Undergraduate Research
Chemistry,Teaching,BS
Choose,18 Credit,s
"Child,","Youth, and Family Services",CERT
The,"Child, Youth and Family Services",CYF
Required,General Education,33 credits
COMM,102 Public Speaking,3
ENG,101 Composition,4
MATH,112 College Algebra,4
MATH,113 Trigonometry,3
PSYC,101 Introduction to Psychological Science,4
Required,for Major,"Core, 34-35 credits"
BIOL,105 General Biology I,4
BIOL,106 General Biology II,4
CHEM,201 General Chemistry I,5
CHEM,202 General Chemistry II,5
CHEM,322 Organic Chemistry I,4
PHYS,211 Principles of Physics I,4
PHYS,212 Principles of Physics II,4
HP,348 Structural Kinesiology and Biomechanics,3
Required,Electives,16 credits
Recommended,Support Courses,3 credits
HLTH,321 Medical Terminology,3
Civil,Engineering,BSCE
Required,Special General Education,23 credits
Choose,3 Credit,s
Choose,5 Credit,s
Choose,2 - 3 Credit,s
Choose,3 Credit,s
Choose,9 - 12 Credit,s
Choose,2 - 5 Credit,s
Clinical,and Diagnostic Sciences,BS
techniques.,The “Pap test”,an evaluation of cells from the uterine cervix
answered,the CSET Advising Center,csetadvising@mnsu.edu
Choose,9 Credit,s
Choose,4 Credit,s
Choose,4 Credit,s
Choose,3 - 4 Credit,s
Choose,32 Credit,s
Clinical,and Diagnostic Sciences,BS
and,prevention of disease. A Medical Laboratory Scientist,MLS
answered,the CSET Advising Center,csetadvising@mnsu.edu
•,Tuberculosis,TB
"B,","Measles, Mumps, Rubella, Tetanus, Chickenpox",Varicella
Choose,4 Credit,s
Choose,13 Credit,s
Choose,32 - 36 Credit,s
Clinical,and Diagnostic Sciences,BS
answered,the CSET Advising Center,csetadvising@mnsu.edu
Statistics,Requirement Choose 3 - 4 Credit,s
Choose,34 Credit,s
Cognitive,Science,BS
Choose,5 Credit,s
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 - 4 Credit,s
A&P,1 & 2 Choose 8 Credit,s
Human,Anatomy & Physiology Choose 8 Credit,s
Philosophy,Electives Choose 6 Credit,s
Computer,Science Electives Choose 4 Credit,s
Senior,Portfolio Choose 1 Credit,s
Choose,3 - 4 Credit,s
Cognitive,Science,BS
Choose,5 Credit,s
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 - 4 Credit,s
A&P,1 & 2 Choose 8 Credit,s
Human,Anatomy & Physiology Choose 8 Credit,s
Philosophy,Electives Choose 6 Credit,s
Computer,Science Electives Choose 4 Credit,s
Senior,Portfolio Choose 1 Credit,s
Thesis,or Capstone Experience Choose 4 Credit,s
Choose,4 Credit,s
Cognitive,Science,BS
Choose,5 Credit,s
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 - 4 Credit,s
A&P,1 & 2 Choose 8 Credit,s
Human,Anatomy & Physiology Choose 8 Credit,s
Philosophy,Electives Choose 6 Credit,s
Computer,Science Electives Choose 4 Credit,s
Senior,Portfolio Choose 1 Credit,s
Emphasis,Restricted Electives Choose 3 Credit,s
Choose,6 Credit,s
Cognitive,Science,BS
Choose,5 Credit,s
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 - 4 Credit,s
A&P,1 & 2 Choose 8 Credit,s
Human,Anatomy & Physiology Choose 8 Credit,s
Philosophy,Electives Choose 6 Credit,s
Computer,Science Electives Choose 4 Credit,s
Senior,Portfolio Choose 1 Credit,s
Choose,4 Credit,s
Communication,and Media,BS
Internship,Requirements,"COMM 497, COMM 498"
Choose,8 Credit,s
Choose,20 Credit,s
Internship,Requirements,"COMM 497, COMM 498"
Choose,8 Credit,s
Communication,Arts and Literature - Education,BS
in,the Department of English must complete at least 50%,half
the,Department of English may earn no more than 33%,one-third
"Literature,","Humanities, Film. Choose 4 Credit",s
World,Literature Choose 3 - 4 Credit,s
Young,Adult Literature Choose 3 Credit,s
Aesthetic,Response Choose 4 Credit,s
Communication,Sciences and Disorders,BS
Clinical,Practicum Choose 2 Credit,s
Speech-Language,Pathology Option Choose 12 - 15 Credit,s
Audiology,Option Choose 12 - 17 Credit,s
General,Option Choose 0 - 5 Credit,s
American,Sign Language Choose 0 - 12 Credit,s
Choose,13 Credit,s
Community,Health Worker,CERT
A,community health worker,CHW
Computer,Application Development,BAS
The,required General Education course,or a comparable course
Choose,20 Credit,s
Computer,Engineering,BSEC
•,A minimum cumulative GPA of 2.00,“C”
engineering,courses,typically in the fall semester
•,General Physics I and II,calculus-based
•,"Calculus I, Calculus II and Differential Equations",12 credits
•,Introduction to Electrical/Computer Engineering I and II,6 credits
•,Circuit Analysis I and II,including lab
•,English Composition,4 credits
•,Technical Communication,4 credits
•,Microprocessor course and lab,4 credits
been,achieved for program admittance. Grades must be 1.65,“C-”
All,students are required to take Fundamentals of Engineering,FE
Economics,Choose 3 Credit,s
Choose,15 credits: choose EE 333,3
credits,"e.g. CIS 350, EE 481, EE 484, and EE 485; or choose EE 390",4
*,Choose a minimum of six,6
*,Choose six,6
*,At least three,3
Analysis/Probability,and Statistics Choose 3 Credit,s
Computer,Engineering Technology,BS
•,a minimum cumulative GPA of 2.00,“C”
May,be substituted with STAT 154,4
Choose,12 Credit,s
Computer,Information Technology,BS
Computer,Information Technology,CIT
Choose,3 Credit,s
Choose,12 Credit,s
Computer,Science,BS
Communication,Choose 3 - 4 Credit,s
Science,Choose 8 - 9 Credit,s
All,students must complete 4 credits of CS 495,Seminar
Thesis,or Capstone Choose 4 Credit,s
Choose,12 Credit,s
Option,1 Electives Choose 4 Credit,s
Option,2 Electives Choose 4 Credit,s
Choose,8 Credit,s
Construction,Management,BS
Analytical,Science Courses,8 Credits
Choose,remaining credits Choose 4 - 5 Credit,s
Select,one of two classes Choose 3 Credit,s
Electives,Choose 3 Credit,s
of,"settings, both institutional","jails, prisons, treatment centers"
Required,General Education Choose 16 Credit,s
Gold,Courses Choose 3 - 4 Credit,s
"Values,",Ethics and Critical Thinking Choose 3 Credit,s
Diversity,and Human Relations Choose 3 - 4 Credit,s
Diversity,and Social Justice in Society Choose 3 - 4 Credit,s
Social,and Political Perspectives Choose 6 - 7 Credit,s
Choose,9 Credit,s
Choose,12 Credit,s
Creative,Writing,BA
Choose,"from CW, ENG, FILM or THEA Choose 12 Credit",s
Choose,8 credit,s
Choose,12 Credit,s
Criminal,Justice,BS
Internships:,Students may only count up to six,6
credits.,"If a student takes CJ496, only six",6
majoring,in Criminal Justice must take a minimum of eighteen,18
"major,",except for internships,CJ498
Experiential,Diverse Cultures Choose 3 - 4 Credit,s
"Values,","Ethics, and Critical Thinking Choose 3 Credit",s
Diversity,and Human Relations Choose 3 - 4 Credit,s
Diversity,and Social Justice in Society Choose 3 - 4 Credit,s
Social,and Political Perspectives Choose 6 - 8 Credit,s
Community,Experiences Choose 2 Credit,s
Cultural,Competency Choose 3 Credit,s
Choose,12 Credit,s
Choose,9 Credit,s
Critical,Thinking,CERT
Choose,3 Credit,s
Students,must take two courses,6 credits
Choose,6 Credit,s
Choose,6 Credit,s
Choose,6 Credit,s
Choose,6 Credit,s
Choose,6 Credit,s
Students,must take one course,3 credits
Choose,3 Credit,s
*,At least 9 of the 15 credits must be upper division,300-400 level
*,At least 6 of the 15 credits must be upper-division,300-400 level
Choose,15 Credit,s
Choose,15 Credit,s
Choose,15 Credit,s
Choose,15 Credit,s
Choose,15 Credit,s
Choose,3 Credit,s
Choose,3 Credit,s
Choose,3 Credit,s
Repertory,Choose 5 Credit,s
Choose,14 Credit,s
Choose,14 Credit,s
Choose,5 Credit,s
Practicum,Choose 1 - 2 Credit,s
Choose,4 Credit,s
Choose,3 Credit,s
Choose,3 Credit,s
Dance/Movement,Therapy,D/MT
Choose,3 Credit,s
Choose,3 Credit,s
Choose,11 Credit,s
Choose,3 Credit,s
Choose,3 Credit,s
Choose,11 Credit,s
Database,Technologies,CERT
experience,of database,equivalent of CIS 340
Choose,12 Credit,s
Choose,8 Credit,s
Dental,Hygiene,BS
blood,borne pathogens,BBP
required,to have a tuberculosis test,Mantoux/BAMT
ADVANCED,PLACEMENT,BS to MS
Sociology,Choose 4 Credit,s
Communication,Choose 3 Credit,s
Statistics,Choose 4 Credit,s
Nutrition,Choose 3 Credit,s
Chemistry,Choose 3 - 5 Credit,s
CHEM,106 Chemistry of Life Process Part I,General
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Dental,Hygiene Introduction Course,s
Study,Abroad Choose 0 - 6 Credit,s
Dental,Hygiene Post Licensure,BS
by,the American Dental Association,ADA
the,American Dental Association,ADA
evaluate,credit for prior learning,CPL
Admission,Test,DAT
of,HP 429,Community Practice in DAPE
Earth,Science,BS
disciplines.,Internship,GEOG 497 or GEOL 497
Choose,3 Credit,s
Earth,Science Teaching,5-12
The,Earth Science Teaching,5-12
Pass/No,Credit,P/NC
Course,Electives Choose 9 Credit,s
Research,Electives Choose 1 - 3 Credit,s
Choose,15 Credit,s
Choose,12 Credit,s
Choose,12 Credit,s
Electrical,Engineering,BSEE
A,minimum cumulative GPA of 2.00,“C”
engineering,courses,typically in the fall semester
•,General Physics I and II,calculus-based
•,"Calculus I, Calculus II and Differential Equations",12 credits
•,Introduction to Electrical/Computer Engineering I and II,6 credits
•,Circuit Analysis I and II,including lab
•,English Composition,4 credits
•,Technical Communication,4 credits
•,Microprocessor course and lab,4 credits
been,achieved for program admittance. Grades must be 1.65,“C-”
•,Grades must be 1.65,“C-”
All,students are required to take Fundamentals of Engineering,FE
Economics,Choose 3 Credit,s
Choose,nine,9
•,Choose a minimum of six,6
•,Choose six,6
•,At least three,3
Analysis/Probability,and Statistics Choose 3 Credit,s
Business/Finance,Choose 3 Credit,s
Electronic,Engineering Technology,BS
a,minimum cumulative GPA of 2.00,“C”
have,completed their senior design sequence,EET 461 and EET 462
Grades,must be “C-”,1.67
Electronics,Option Choose 7 - 8 Credit,s
Elementary,Education,BS
Admission,to Student Teaching,119 Armstrong Hall
professional,responsibilities of teachers,"e.g., parent conferences"
•,Attendance at all preliminary student teaching meeting,s
Teacher,Licensure,118 Armstrong Hall
US,History Choose 3 - 4 Credit,s
Goal,Area 9 Choose 3 - 4 Credit,s
Elementary,Education STEM,CERT
Mathematics,Choose 4 Credit,s
COMM,102 Public Speaking,3
CHEM,201 General Chemistry I,5
ECON,201 Principles of Macroeconomics,3
ECON,202 Principles of Microeconomics,3
ENG,101 Composition,4
MATH,121 Calculus I,4
MATH,122 Calculus II,4
PHYS,221 General Physics I,4
such,as EE 106,3
Center,and the university,or universities
CHEM,201 General Chemistry I,5
COMM,102 Public Speaking,3
ENG,101 Composition,4
ENG,271W Technical Communications,4
MATH,121 Calculus I,4
MATH,122 Calculus II,4
MATH,223 Calculus III,4
PHYS,221 General Physics I,4
PHYS,222 General Physics II,4
in,the Department of English must complete at least 50%,half
the,Department of English may earn no more than 33%,one-third
English,Studies,BA
in,the Department of English must complete at least 50%,half
the,Department of English may earn no more than 33%,one-third
Choose,8 Credit,s
Choose,16 Credit,s
Choose,8 credit,s
in,the Department of English must complete at least 50%,half
the,Department of English may earn no more than 33%,one-third
Choose,8 Credit,s
Entrepreneurship,and Innovation,CERT
Choose,6 Credit,s
Business,must complete at least 50%,one-half
Environmental,Geology,CERT
Required,Environmental Geology Choose 3 - 4 Credit,s
Required,Environmental Sciences Choose 3 - 4 Credit,s
Humanities,and Social Sciences Choose 3 - 4 Credit,s
Natural,Sciences and Allied Health Choose 3 - 4 Credit,s
Choose,an additional three classes from either list,9-12 credits
Environmental,Science,BS
Math,Requirement Choose 4 Credit,s
Soil,Requirement Choose 4 Credit,s
Statistics,Requirement Choose 3 - 4 Credit,s
Ecology,Requirement Choose 8 Credit,s
Choose,1 - 4 Credit,s
two,courses must have a laboratory component. Choose 11 - 12 Credit,s
Aquatic,Emphasis Choose 11 - 12 Credit,s
Capstone,Choose 3 Credit,s
Group,1 Choose 3 Credit,s
Group,2 Choose 6 Credit,s
Unrestricted,Elective Choose 3 Credit,s
Ethnic,Studies,BS
Choose,3 Credit,s
Research,Methods/Skills Choose 3 Credit,s
Critical,Thinking/Theoretical Choose 3 Credit,s
Choose,15 Credit,s
Choose,15 Credit,s
Choose,15 Credit,s
Ethnic,Studies,BS
Choose,3 Credit,s
Research,Methods/Skills Choose 3 Credit,s
Critical,Thinking /Theoretical Choose 3 Credit,s
Choose,15 Credit,s
Choose,15 credit,s
Choose,15 Credit,s
Ethnic,Studies,BS
Choose,3 Credit,s
Research,Methods/Skills Choose 3 Credit,s
Critical,Thinking /Theoretical Choose 3 Credit,s
Choose,15 credit,s
Choose,15 Credit,s
Choose,15 Credit,s
Ethnic,Studies,BS
Choose,3 Credit,s
Choose,3 Credit,s
Choose,3 Credit,s
Choose,15 Credit,s
Choose,15 Credit,s
Choose,15 Credit,s
Ethnic,Studies,BS
General,Education Choose 3 Credit,s
Research,Methods/Skills Course Choose 3 Credit,s
Critical,Thinking/ Theoretical Course Choose 3 Credit,s
Choose,15 Credit,s
Choose15,Credit,s
Choose,15 Credit,s
Prerequisites,Choose 3 Credit,s
Major,Common Core Choose 3 Credit,s
Choose,3 Credit,s
Choose,3 Credit,s
Major,Restricted Electives Choose 6 Credit,s
Exercise,Science,BS
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,2 Credit,s
Exercise,Science,BS
Choose,2 Credit,s
Experimental,Psychology,CERT
Choose,7 - 8 Credit,s
Family,Consumer Science Education,BS
FCS-Child,Development & Family Studies,BS
National,Council on Family Relations,NCFR
permission,from faculty to take upper-level,300-400
Choose,20 Credit,s
Film,and Media Studies,BA
Capstone,Project Choose 2 Credit,s
Film,History Requirement Choose 4 Credit,s
FILM,402 Film History I,1895-1960
FILM,412 Film History II,1961-Present
Film,Studies Choose 12 Credit,s
FILM,402 Film History I,1895-1960
FILM,412 Film History II,1961-Present
Media,Studies Choose 12 Credit,s
Choose,8 credit,s
Film,History Choose 4 Credit,s
FILM,402 Film History I,1895-1960
FILM,412 Film History II,1961-Present
Film,Theory & Criticism Choose 4 Credit,s
Choose,8 Credit,s
FILM,402 Film History I,1895-1960
FILM,412 Film History II,1961-Present
a,Certified Financial Planner,CFP
Minimum,cumulative,including Transfer
Completion,of the following courses with a minimum grade of “C”,2.0
grade,point average of 2.0,“C”
upper,division,300-400
College,of Business must also complete at least 50%,one-half
Ethics,Requirement Choose 3 Credit,s
Required,of all College of Business majors Choose 34 Credit,s
Required,of all Finance majors Choose 12 Credit,s
Minimum,cumulative,including Transfer
Completion,of the following courses with a minimum grade of “C”,2.0
grade,point average of 2.0,“C”
upper,division,300-400
College,of Business must also complete at least 50%,one-half
Ethics,Requirement Choose 3 Credit,s
Required,of all College of Business majors Choose 34 Credit,s
Required,of all Finance majors Choose 12 Credit,s
Choose,0 - 9 Credit,s
Minimum,cumulative,including Transfer
Completion,of the following courses with a minimum grade of “C”,2.0
grade,point average of 2.0,“C”
upper,division,300-400
College,of Business must also complete at least 50%,one-half
Ethics,Requirement Choose 3 Credit,s
Required,of all College of Business majors Choose 34 Credit,s
Required,of all Finance majors Choose 12 Credit,s
Choose,12 Credit,s
Quantitative,Finance,12 credits
Choose,3 Credit,s
cumulative,grade point average of 2.0,“C”
Elective,Choose 3 Credit,s
Choose,9 Credit,s
Choose,3 Credit,s
Food,Science Technology,BS
Math,Choose 4 Credit,s
Choose,3 Credit,s
Practicum,Choose 2 - 4 Credit,s
The,elementary cycle,"FREN 101, FREN 102"
Language,Choose 10 Credit,s
Language,Choose 7 - 18 Credit,s
Literature,Choose 9 - 15 Credit,s
Civilization,Choose 3 - 4 Credit,s
Choose,7 - 17 Credit,s
If,a student has a second Major,BA or BS
Choose,3 - 4 Credit,s
Choose,3 - 6 Credit,s
French,Teaching,BS
Choose,2 - 10 Credit,s
Language,Choose 11 - 21 Credit,s
Literature,Choose 4 - 15 Credit,s
Civilization,Choose 3 - 4 Credit,s
Methods,Choose 8 Credit,s
WLC,462 Foreign Languages in the Elementary School,FLES
Major,Restricted Electives Choose 1 Credit,s
Gender,and Women’s Studies,BA
Accelerated,Combined Degree,BA/BS and MA/MS
Choose,12 Credit,s
Choose,8 credit,s
Gender,and Women’s Studies,BS
Accelerated,Combined Degree,BA/BS and MA/MS
Required,Internship Choose 4 Credit,s
Choose,8 Credit,s
Choose,4 Credit,s
Choose,5 - 7 Credit,s
Earth,Science Foundation Choose 4 Credit,s
Archeology,Electives Choose 3 Credit,s
Earth,Science Electives Choose 6 - 8 Credit,s
Geographic,Information Science,CERT
The,Undergraduate Certificate in Geographic Information Science,GISc
Choose,7 Credit,s
Information,Science,MS GISc
Cultural-Systematic,Choose 3 Credit,s
Physical,Choose 3 - 4 Credit,s
Foreign,Regional Choose 3 Credit,s
Capstone,Experience Choose 1 - 4 Credit,s
Additional,Electives Choose 1 - 8 Credit,s
Choose,8 credit,s
Information,Science,MS GISc
Cultural-Systematic,Choose 3 Credit,s
Physical,Choose 3 - 4 Credit,s
Regional,Choose 3 Credit,s
Capstone,Experience Choose 1 - 4 Credit,s
Techniques,Choose 3 - 4 Credit,s
Additional,Electives Choose 6 - 11 Credit,s
Choose,9 Credit,s
A,student is eligible to pursue a Professional Geologist,PG
to,take the Fundamentals of Geology,FG
"Geoscience,",and Interior Design,AELSLAGID
Introductory,Geoscience Choose 3 - 4 Credit,s
Quantitative,Reasoning Choose 4 Credit,s
Technical,Communication Choose 4 Credit,s
Physical,Science Choose 9 Credit,s
Geology,Foundation Choose 8 Credit,s
Geology,Electives Choose 12 - 15 Credit,s
Technical,Elective Choose 3 - 4 Credit,s
Capstone,Choose 4 - 10 Credit,s
a,Research Experience for Undergraduates,REU
Choose,6 Credit,s
Geomorphology,and Earth Surface Processes,CERT
Choose,4 Credit,s
Choose,6 Credit,s
Geospatial,Science,BS
Information,Systems,GIS
Information,Science,MS GISc
Cultural-Systematic,Choose 3 Credit,s
Physical,Choose 3 - 4 Credit,s
Regional,Choose 3 Credit,s
Capstone,Experience Choose 1 - 4 Credit,s
Techniques,Choose 3 - 4 Credit,s
Additional,Electives Choose 22 - 27 Credit,s
Elementary,cycle,"GER 101, 102"
Language,Choose 8 Credit,s
Core,coursework Choose 12 - 24 Credit,s
GER,340,German
GER,341,German
Electives,Choose 4 - 12 Credit,s
GER,340,German
If,a student has a second major,B.A. or B.S.
The,elementary cycle,"GER 101, 102"
Choose,16 Credit,s
GER,340,German
GER,341,German
Choose,8 - 16 Credit,s
German,Teaching,BS
Language,Choose 1 - 4 Credit,s
GER,340,German
Literature,Choose 1 - 8 Credit,s
Civilization,Choose 1 - 4 Credit,s
Composition,& Conversation Choose 4 Credit,s
GER,341,German
Methods,Choose 8 Credit,s
WLC,462 Foreign Languages in the Elementary School,FLES
Electives,Choose 1 - 10 Credit,s
GER,340,German
the,following courses,0-6 credits
from,the following courses,0-6 credits
Graphic,Design,CERT
Choose,6 Credit,s
Health,and Physical Education,BS
Health,Communication,BS
Internship,Requirements,"COMM 497, COMM 498"
Intercultural,Competency Choose 4 Credit,s
Capstone,Choose 1 Credit,s
Health,Specialization Choose 11 Credit,s
Internship,Requirements,"COMM 497, COMM 498"
Health,Informatics,BS
Systems,and Health Information Technology,HIT
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Choose,3 Credit,s
Choose,4 Credit,s
Choose,3 Credit,s
Health,Informatics,CERT
Choose,4 Credit,s
Choose,3 Credit,s
Choose,4 Credit,s
Choose,12 Credit,s
either,for P/N or letter grading except HIST 490,workshops
Accelerated,Combined Degree,BA/MA and BS/MS
Survey,Sequence Choose 8 Credit,s
Europe,Choose 4 Credit,s
United,States Choose 4 Credit,s
World,Choose 4 Credit,s
Upper-Division,Electives Choose 12 Credit,s
General,Electives Choose 4 Credit,s
Choose,8 credit,s
either,for P/N or letter grading except HIST 490,workshops
Accelerated,Combined Degree,BA/MA and BS/MS
Introductory,Choose 8 Credit,s
Practicum,Choose 4 Credit,s
Upper-Division,World Choose 4 Credit,s
Upper-Division,U.S. Choose 4 Credit,s
Upper-Division,Unrestricted Choose 8 Credit,s
Unrestricted,Choose 4 Credit,s
General,Electives Choose 12 Credit,s
Upper-Division,Electives Choose 8 Credit,s
*,Take three classes,9-12 credits
Choose,0 - 12 Credit,s
Choose,0 - 12 Credit,s
the,minor,includes transfer GPA
