Course Number,Course Name,Credit Count,Prerequisites,Color Group,General Education Goal Area
COMM 360,Applied Media Design,4 credits,N/A,N/A,N/A
COMM 370,Foundations of Health Communication,4 credits,N/A,N/A,N/A
COMM 374,Digital Music 1,4 credits,N/A,N/A,N/A
COMM 375,Projects in Music Industry,4 credits,N/A,N/A,N/A
COMM 383,Game Theory and Criticism,4 credits,N/A,N/A,N/A
COMM 398,CPT: Co-Operative Experience,0 credits,N/A,N/A,N/A
COMM 400,Advanced Seminar,4 credits,N/A,N/A,N/A
COMM 405,Strategic Advocacy Campaigns,4 credits,N/A,N/A,N/A
COMM 409,Performance Studies,4 credits,N/A,N/A,N/A
COMM 410,Topics in Relational Communication,1-4 credits,N/A,N/A,N/A
COMM 412,Organizational Communication,4 credits,N/A,N/A,N/A
COMM 414,Music in the Marketplace,4 credits,N/A,N/A,N/A
COMM 415,Topics in Rhetoric and Culture,1-4 credits,N/A,N/A,N/A
COMM 416,Topics in American Public Address,1-4 credits,N/A,N/A,N/A
COMM 417,Experiential Storytelling,4 credits,N/A,N/A,N/A
COMM 418,"Gender, Race, and Identity",4 credits,N/A,N/A,N/A
COMM 419,"Gender, Race, and Media",4 credits,N/A,N/A,N/A
COMM 420,Mass Media History,4 credits,N/A,N/A,N/A
COMM 425,Crisis Communication,4 credits,N/A,N/A,N/A
COMM 429,Aesthetics and Culture in Music Industry,4 credits,N/A,N/A,N/A
COMM 430,Social Movements and Advocacy,4 credits,N/A,N/A,N/A
COMM 432,Grassroots Advocacy and Organizing,4 credits,N/A,N/A,N/A
COMM 434W,Public Relations Writing,4 credits,N/A,N/A,N/A
COMM 435,Forensics Pedagogy,4 credits,N/A,N/A,N/A
COMM 436W,Specialized Writing,4 credits,N/A,N/A,N/A
COMM 437,Legal Aspects of the Music Industry,4 credits,N/A,N/A,N/A
COMM 440,Special Topics,1-4 credits,N/A,N/A,N/A
COMM 444,Music Promotion and Social Media,4 credits,N/A,N/A,N/A
COMM 445,Conflict Management,4 credits,N/A,N/A,N/A
COMM 450,Strategic Communications Case Studies,4 credits,N/A,N/A,N/A
COMM 460,"Dialogue, Discussion, and Debate",4 credits,N/A,N/A,N/A
COMM 464,AMP Ensemble,1-4 credits,N/A,N/A,N/A
COMM 465,Global Media,4 credits,N/A,N/A,N/A
COMM 469,Advocacy Documentary Production,4 credits,N/A,N/A,N/A
COMM 470,Topics in Health Communication,4 credits,N/A,N/A,N/A
COMM 473,Interactive Storytelling,4 credits,N/A,N/A,N/A
COMM 474,Digital Music 2,4 credits,N/A,N/A,N/A
COMM 475,Recording Studio,1-4 credits,N/A,N/A,N/A
COMM 483,Serious Game Design and Criticism,4 credits,N/A,N/A,N/A
COMM 484,Creative Audio Production,4 credits,N/A,N/A,N/A
COMM 494,Senior Capstone Seminar,2 credits,N/A,N/A,N/A
COMM 495,Mass Media Workshop,1-4 credits,N/A,N/A,N/A
COMM 496,Capstone,1 credits,N/A,N/A,N/A
COMM 497,Teaching Internship,1-12 credits,N/A,N/A,N/A
COMM 498,"Internship 1, 5, 6, 7, 8, 9, 10, 11,",12 credits,N/A,N/A,N/A
CDIS 201,Observation of Human Communication,3 credits,N/A,N/A,N/A
CDIS 205,Beginning American Sign Language - Level I,3 credits,N/A,N/A,N/A
CDIS 220,Basic Audiology,3 credits,N/A,N/A,N/A
CDIS 290,Introduction to Communication Disorders,3 credits,N/A,N/A,N/A
CDIS 291,Individual Study,1-3 credits,N/A,N/A,N/A
CDIS 306,Intermediate American Sign Language - Level II,3 credits,N/A,N/A,N/A
CDIS 307,Advanced I American Sign Language - Level III,3 credits,N/A,N/A,N/A
CDIS 308,Conversations in American Sign Language,1 credits,N/A,N/A,N/A
CDIS 312,Speech and Language Development,3 credits,N/A,N/A,N/A
CDIS 320,Beginning and Intermediate Audiometrics,2 credits,N/A,N/A,N/A
CDIS 322,Speech and Hearing Science,3 credits,N/A,N/A,N/A
CDIS 350W,Interprofessional Practice and Research,3 credits,N/A,N/A,N/A
CDIS 392,Phonetics,3 credits,N/A,N/A,N/A
CDIS 394,Applied Anatomy and Physiology,3 credits,N/A,N/A,N/A
CDIS 401,Hearing Disorders,3 credits,N/A,N/A,N/A
CDIS 402,Child Language Disorders,2 credits,N/A,N/A,N/A
CDIS 403,Child Language Disorders Lab,1 credits,N/A,N/A,N/A
CDIS 407,Advanced II American Sign Language - Level IV,3 credits,N/A,N/A,N/A
CDIS 410,Neurological Bases of Speech,2 credits,N/A,N/A,N/A
CDIS 416,Voice and Resonance Disorders,3 credits,N/A,N/A,N/A
CDIS 420,Advanced Audiometrics,2 credits,N/A,N/A,N/A
CDIS 421,Aural Rehabilitation,3 credits,N/A,N/A,N/A
CDIS 422,Hearing Across the Lifespan,2 credits,N/A,N/A,N/A
CDIS 434,CDIS 434 Clinical Methods in Speech-Language Pathology,2 credits,N/A,N/A,N/A
CDIS 431,CDIS 438 Speech Sound Disorders,3 credits,N/A,N/A,N/A
CDIS 444,Appraisal and Diagnosis,3 credits,N/A,N/A,N/A
CDIS 445,Grand Rounds-Foundation,1 credits,N/A,N/A,N/A
CDIS 446,Grand Rounds-Presentation,2 credits,N/A,N/A,N/A
CDIS 477,Interprofessional Practices,1 credits,N/A,N/A,N/A
CDIS 491,Inservice,1-6 credits,N/A,N/A,N/A
CDIS 495,Clinical Practicum: Speech/Language Disorders,2 credits,N/A,N/A,N/A
CIS 100,Introduction to Computing and Applications,4 credits,N/A,N/A,N/A
CIS 101,Introduction to Information Systems,3 credits,N/A,N/A,N/A
CIS 113,Health Humanities and Health Informatics,4 credits,N/A,N/A,N/A
CIS 115,Big Ideas of Computer Science,4 credits,N/A,N/A,N/A
CIS 121,Introduction to Programming,4 credits,N/A,N/A,N/A
MATH 130,CIS 201 Introduction to Assistive Technology,2 credits,N/A,N/A,N/A
CIS 202W,Computers in Society,4 credits,N/A,N/A,N/A
CIS 223,Algorithms,4 credits,N/A,N/A,N/A
CIS 224,Computer Architecture,4 credits,N/A,N/A,N/A
CIS 296,(1-2) Introduction to Selected Topics,1-2 credits,N/A,N/A,N/A
CIS 311,Business Application Programming,4 credits,N/A,N/A,N/A
CIS 122,CIS 340 Introduction to Database Systems,4 credits,N/A,N/A,N/A
CIS 342,Fundamentals of Descriptive Analytics,4 credits,N/A,N/A,N/A
ECON 207,CIS 350 Information Security,4 credits,N/A,N/A,N/A
CIS 360,Introduction to Networking,4 credits,N/A,N/A,N/A
CIS 380,Systems Analysis and Design,4 credits,N/A,N/A,N/A
CIS 123,CIS 390 International Technology Experience,12 credits,N/A,N/A,N/A
CIS 393,Career Readiness,1 credits,N/A,N/A,N/A
CIS 340,CIS 440 Database Management Systems,4 credits,N/A,N/A,N/A
CIS 440,CIS 450 Information Warfare,4 credits,N/A,N/A,N/A
CIS 460,Network and Security Protocols,4 credits,N/A,N/A,N/A
CIS 496,Selected Topics in Information Technology,1-4 credits,N/A,N/A,N/A
CIS 497,Internship,1-12 credits,N/A,N/A,N/A
CIS 498,Information Technology Capstone,4 credits,N/A,N/A,N/A
CIS 499,Individual Study,1-4 credits,N/A,N/A,N/A
MATH 280,CS 391W Computer Science Project 1,4 credits,N/A,N/A,N/A
CORR 417,Program Administration,3 credits,N/A,N/A,N/A
CORR 497,Capstone Seminar,2 credits,N/A,N/A,N/A
CSP 110,Decision Making for Career and Life,3 credits,N/A,N/A,N/A
CSP 115,Processes & Skills for Facilitating Effective Change,3 credits,N/A,N/A,N/A
CSP 470,Group Procedures,3 credits,N/A,N/A,N/A
CSP 471,Interpersonal Helping Skills,3 credits,N/A,N/A,N/A
CSP 473,Counseling the Chemically Dependent Family,3 credits,N/A,N/A,N/A
CSP 491,Inservice,1-4 credits,N/A,N/A,N/A
CSP 499,Individual study,1-4 credits,N/A,N/A,N/A
DAK 101,Elementary Dakota I,4 credits,N/A,N/A,N/A
DAK 102,Elementary Dakota II,4 credits,N/A,N/A,N/A
DAK 201,Intermediate Dakota I,4 credits,N/A,N/A,N/A
DAK 202,Intermediate Dakota II,4 credits,N/A,N/A,N/A
DANC 120,Introduction to Dance,3 credits,N/A,N/A,N/A
DANC 120W,Introduction to Dance,3 credits,N/A,N/A,N/A
DANC 123,Jazz Dance I,2 credits,N/A,N/A,N/A
DANC 125,Afro-Caribbean Dance Forms,2 credits,N/A,N/A,N/A
DANC 126,Ballet I,2 credits,N/A,N/A,N/A
DANC 127,Tap Dance I,2 credits,N/A,N/A,N/A
DANC 128,Contemporary Dance I,2 credits,N/A,N/A,N/A
DANC 129,Dance Activities,1-2 credits,N/A,N/A,N/A
DANC 223,Jazz Dance II,2 credits,N/A,N/A,N/A
DANC 225,Worlds of Dance,3 credits,N/A,N/A,N/A
DANC 226,Ballet II,2 credits,N/A,N/A,N/A
DANC 227,Tap Dance II,2 credits,N/A,N/A,N/A
DANC 228,Contemporary Dance II,2 credits,N/A,N/A,N/A
DANC 320,Dance Somatics,2 credits,N/A,N/A,N/A
DANC 321,Dance Composition I,2 credits,N/A,N/A,N/A
DANC 322,Dance Improvisation,2 credits,N/A,N/A,N/A
DANC 323,Jazz Dance III,2 credits,N/A,N/A,N/A
DANC 324,Methods and Materials for Teaching Dance,3 credits,N/A,N/A,N/A
DANC 326,Ballet III,2 credits,N/A,N/A,N/A
DANC 327,Tap Dance III,2 credits,N/A,N/A,N/A
DANC 328,Contemporary Dance III,2 credits,N/A,N/A,N/A
DANC 329,Dance Practicum,1 credits,N/A,N/A,N/A
DANC 332,Dance Partnering,1 credits,N/A,N/A,N/A
DANC 333,Dance Partnering for Theatre,1 credits,N/A,N/A,N/A
DANC 421,Dance Composition II,2 credits,N/A,N/A,N/A
DANC 428,Dance Repertory,1 credits,N/A,N/A,N/A
DANC 429,Senior Dance Project,1 credits,N/A,N/A,N/A
DANC 484W,DANC 430 Choreographic Project I,1 credit,N/A,N/A,N/A
DANC 431,Choreographic Project II,1 credit,N/A,N/A,N/A
DANC 484,Dance History,3 credits,N/A,N/A,N/A
DANC 499,(1-3) Individual Study,1-3 credits,N/A,N/A,N/A
DHYG 100,Perspectives in Dental Hygiene,1 credits,N/A,N/A,N/A
DHYG 101,Introduction to Dental Professions,1 credits,N/A,N/A,N/A
DHYG 219,Head and Neck Anatomy and Histology,2 credits,N/A,N/A,N/A
DHYG 223,Pharmacology,3 credits,N/A,N/A,N/A
CHEM 111,DHYG 225 Oral Anatomy,2 credits,N/A,N/A,N/A
DHYG 311,Preclinical Orientation,3 credits,N/A,N/A,N/A
DHYG 313,Clinical Skills Development,3 credits,N/A,N/A,N/A
DHYG 321,Radiography I,3 credits,N/A,N/A,N/A
DHYG 322,Biomaterials I,2 credits,N/A,N/A,N/A
DHYG 326,Biomaterials II,2 credits,N/A,N/A,N/A
DHYG 327,Periodontology I,2 credits,N/A,N/A,N/A
DHYG 328,Radiography II,2 credits,N/A,N/A,N/A
DHYG 329,Oral Embryology and Pathology,3 credits,N/A,N/A,N/A
DHYG 331,Clinical Dental Hygiene I,2 credits,N/A,N/A,N/A
DHYG 332,Clinical Seminar I,2 credits,N/A,N/A,N/A
DHYG 333,Clinical Dental Hygiene IS,2 credits,N/A,N/A,N/A
DHYG 334,Dental Practice Management,1 credits,N/A,N/A,N/A
DHYG 336,Culturally Aware Health Care,3 credits,N/A,N/A,N/A
DHYG 420,Local Anesthesia,1 credits,N/A,N/A,N/A
DHYG 421,Clinical Dental Hygiene II,3 credits,N/A,N/A,N/A
DHYG 422,Clinical Seminar II,1 credits,N/A,N/A,N/A
DHYG 424,Nitrous Oxide Sedation,1 credits,N/A,N/A,N/A
DHYG 425W,Community Dental Health,3 credits,N/A,N/A,N/A
DHYG 426,Dental Hygiene Jurisprudence and Ethics,1 credits,N/A,N/A,N/A
DHYG 427,Periodontology II,2 credits,N/A,N/A,N/A
DHYG 428,Technology in Dentistry,1 credits,N/A,N/A,N/A
DHYG 431,Clinical Dental Hygiene III,3 credits,N/A,N/A,N/A
DHYG 432,Clinical Seminar III,2 credits,N/A,N/A,N/A
DHYG 435,Community Practicum,2 credits,N/A,N/A,N/A
DHYG 438,Advanced Community Practice I,1 credit,N/A,N/A,N/A
DHYG 439,Advanced Community Practice II,1 credit,N/A,N/A,N/A
DHYG 441,Advanced Dental Hygiene Practice,3 credits,N/A,N/A,N/A
DHYG 442,Current Issues in Dental Hygiene,3 credits,N/A,N/A,N/A
DHYG 443,Technology in Oral Health,3 credits,N/A,N/A,N/A
DHYG 444,Principles of Oral Health Promotion,3 credits,N/A,N/A,N/A
DHYG 444W,Principles of Oral Health Promotion,3 credits,N/A,N/A,N/A
DHYG 445,Educational Methods in Dental Hygiene,3 credits,N/A,N/A,N/A
DHYG 447,Dental Health Study Abroad,1-3 credits,N/A,N/A,N/A
DHYG 451,Dental Hygiene Care Planning,3 credits,N/A,N/A,N/A
DHYG 452,Decision Making in Periodontology,3 credits,N/A,N/A,N/A
DHYG 453W,Research Methods in Dental Hygiene,3 credits,N/A,N/A,N/A
DHYG 454,Oral Health Promotion Practice,3 credits,N/A,N/A,N/A
DHYG 460,Restorative Functions Seminar,2 credits,N/A,N/A,N/A
DHYG 462,Restorative Functions Clinic II,1 credit,N/A,N/A,N/A
DHYG 461,DHYG 499 Individual Study,1-6 credits,N/A,N/A,N/A
ECON 100,(3.00) An Introduction to the U.S. Economy,3 credits,N/A,N/A,N/A
ECON 201,Principles of Macroeconomics,3 credits,N/A,N/A,N/A
ECON 202,Principles of Microeconomics,3 credits,N/A,N/A,N/A
ECON 301,Introduction to Mathematical Economics,3 credits,N/A,N/A,N/A
ECON 305,Money and Banking,3 credits,N/A,N/A,N/A
ECON 320W,Gender Issues and Economic Globalization,3 credits,N/A,N/A,N/A
ECON 420,International Economics,3 credits,N/A,N/A,N/A
ECON 440,Public Finance,3 credits,N/A,N/A,N/A
ECON 463,Applied Econometrics of Financial Markets,3 credits,N/A,N/A,N/A
ECON 491,In-Service,1-3 credits,N/A,N/A,N/A
ECON 498,Internship,1-3 credits,E,N/A,N/A
ECON 356,ECON 499 Individual Study,1-3 credits,E,N/A,N/A
KSP 106,Education & Culture in the United States,1 credits,N/A,N/A,N/A
KSP 150,Exploring Careers in Education,3 credits,N/A,N/A,N/A
KSP 200,Critical Issues in Public Education,3 credits,N/A,N/A,N/A
KSP 202,Technology Integration in the Classroom,1 credits,N/A,N/A,N/A
KSP 220W,Human Relations in a Multicultural Society,3 credits,N/A,N/A,N/A
KSP 222,Introduction to the Learner and Learning,2 credits,N/A,N/A,N/A
KSP 330,Planning and Instruction in the Classroom,3 credits,N/A,N/A,N/A
KSP 334,Assessment & Evaluation,3 credits,N/A,N/A,N/A
KSP 450,Human Relations in a Multicultural Society,3 credits,N/A,N/A,N/A
KSP 464,Professional Seminar,1 credits,N/A,N/A,N/A
KSP 476,K-12 Student Teaching,11 credits,N/A,N/A,N/A
KSP 475,KSP 477 5-12 Student Teaching,11 credits,N/A,N/A,N/A
KSP 480,Seminar,1-3 credits,N/A,N/A,N/A
KSP 482,(3-6) Enrichment Experience Secondary,3-6 credits,N/A,N/A,N/A
KSP 490,Workshop,1-6 credits,N/A,N/A,N/A
KSP 491,In-Service,1-4 credits,N/A,N/A,N/A
KSP 497,Internship,1-8 credits,N/A,N/A,N/A
KSP 499,Individual Study,1-6 credits,N/A,N/A,N/A
EET 142,EE 235 Microprocessor Engineering Laboratory I,1 credit,N/A,N/A,N/A
MATH 321,EE 304 Lab: Introduction to Solid State Devices,1 credit,N/A,N/A,N/A
EET 112,Elementary Electricity and Electronics,3 credits,N/A,N/A,N/A
MATH 115,EET 114 AC Circuits,3 credits,N/A,N/A,N/A
EET 115,Understanding Computers,3 credits,N/A,N/A,N/A
EET 116,"Communications-Past, Present & Future",3 credits,N/A,N/A,N/A
EET 117,Introduction to Digital Electronics,3 credits,N/A,N/A,N/A
EET 125,Perspective on Technology,3 credits,N/A,N/A,N/A
EET 141,Integrated Computer Technology I,4 credits,N/A,N/A,N/A
EET 222,EET 254 Microprocessors I,4 credits,N/A,N/A,N/A
EET 310,Programming Tools,4 credits,N/A,N/A,N/A
MATH 180,EET 315 Programmable Instrumentation,3 credits,N/A,N/A,N/A
EET 254,EET 340 Programmable Hardware Technology,4 credits,N/A,N/A,N/A
EET 341,Electronic Shop Practices,2 credits,N/A,N/A,N/A
EET 221,EET 355 Electrical Power Systems,4 credits,N/A,N/A,N/A
PHYS 212,EET 384 Microprocessors II,4 credits,N/A,N/A,N/A
EET 393,Practicum,1-4 credits,N/A,N/A,N/A
EET 398,CPT: Co-Operative Experience,0 credits,N/A,N/A,N/A
EET 430,Computer Networking I,4 credits,N/A,N/A,N/A
EET 384,EET 431 Computer Networking II,4 credits,N/A,N/A,N/A
EET 223,EET 455 Power Electronics,3 credits,N/A,N/A,N/A
STAT 221,EET 458 Advanced Instrumentation,1 credit,N/A,N/A,N/A
EET 461,Industrial Automation I,4 credits,N/A,N/A,N/A
EET 456,EET 487 RF Systems Technology,3 credits,N/A,N/A,N/A
EET 491,In-Service,1-4 credits,N/A,N/A,N/A
EET 492,Integrated Circuit Technology,4 credits,N/A,N/A,N/A
EET 497,Internship,1-6 credits,N/A,N/A,N/A
EET 498,Topics,1-4 credits,N/A,N/A,N/A
EET 499,Individual Study,1-4 credits,N/A,N/A,N/A
ELE 215,Introduction to Education and Instruction,4 credits,N/A,N/A,N/A
ELE 222W,Human Relations in a Multicultural Society,4 credits,N/A,N/A,N/A
ELE 240,Research,1-4 credits,N/A,N/A,N/A
ELE 310,Philosophy & Practices in the Middle School,3 credits,N/A,N/A,N/A
ELE 402,Introduction to Teaching Multilingual Children,3 credits,N/A,N/A,N/A
ELE 413,Understanding the Needs of Individual Students,4 credits,N/A,N/A,N/A
ELE 436,Engineering for Elementary Teachers,2 credits,N/A,N/A,N/A
ELE 440,Student Teaching,12 credits,N/A,N/A,N/A
ELE 446,Educational Technology-STEM,2 credits,N/A,N/A,N/A
ELE 451,Middle level practicum,1-2 credits,N/A,N/A,N/A
ELE 456,Special Topics: STEM for Elementary Teachers,1 credit,N/A,N/A,N/A
ELE 470,Field Experience in STEM,4 credits,N/A,N/A,N/A
ELE 494,Student Teaching Middle School,4 credits,N/A,N/A,N/A
ELE 496,Internship,3-6 credits,N/A,N/A,N/A
ELE 499,Individual Study,1-4 credits,N/A,N/A,N/A
ENG 100,Academic Reading and Writing,4 credits,N/A,N/A,N/A
ENG 101,Foundations of Writing & Rhetoric,4 credits,N/A,N/A,N/A
ENG 105,"Race, Rhetoric, and Representation",4 credits,N/A,N/A,N/A
ENG 110,Introduction to Literature,4 credits,N/A,N/A,N/A
ENG 112W,Why Literature Matters,4 credits,N/A,N/A,N/A
ENG 146,Introduction to Shakespeare,4 credits,N/A,N/A,N/A
ENG 201W,Writing Technologies,4 credits,N/A,N/A,N/A
ENG 215,Topics in Literature,2-4 credits,N/A,N/A,N/A
ENG 271W,Technical Communication,4 credits,N/A,N/A,N/A
ENG 273W,Agricultural Communication,4 credits,N/A,N/A,N/A
ENG 275W,Introduction to Literary Studies,4 credits,N/A,N/A,N/A
ENG 301W,Advanced Writing,4 credits,N/A,N/A,N/A
ENG 316,Topics in Literature,1-4 credits,N/A,N/A,N/A
ENG 317,Literature & the Environment,4 credits,N/A,N/A,N/A
ENG 318,Multicultural Literature,2-4 credits,N/A,N/A,N/A
ENG 319,Animals and Literature,4 credits,N/A,N/A,N/A
ENG 322,Topics in British Literature,4 credits,N/A,N/A,N/A
ENG 323,Topics in US Literature,4 credits,N/A,N/A,N/A
ENG 325,Children’s Literature,3 credits,N/A,N/A,N/A
ENG 361,"Teaching English: Literature, Grades 5-12",4 credits,N/A,N/A,N/A
ENG 362,"Teaching English: Writing, Grades 5-12",4 credits,N/A,N/A,N/A
ENG 381,Introduction to English Linguistics,4 credits,N/A,N/A,N/A
ENG 385,Introduction to Sociolinguistics,4 credits,N/A,N/A,N/A
ENG 401,(4.00) Topics in Writing Studies,4 credits,N/A,N/A,N/A
ENG 402W,Gender in Literature,4 credits,N/A,N/A,N/A
ENG 403W,Selected Authors,4 credits,N/A,N/A,N/A
ENG 407,Shakespeare,4 credits,N/A,N/A,N/A
ENG 410,21st Century Literature,1-4 credits,N/A,N/A,N/A
ENG 425,Topics in Children’s Literature,2-4 credits,N/A,N/A,N/A
ENG 426,Selected Periods,2-4 credits,N/A,N/A,N/A
ENG 430,Independent Reading,1-4 credits,N/A,N/A,N/A
ENG 433W,Selected Studies in World Literature,4 credits,N/A,N/A,N/A
ENG 435,The World Novel,2-4 credits,N/A,N/A,N/A
ENG 436W,Native American Literature,4 credits,N/A,N/A,N/A
ENG 437W,Latina/o Literature,2-4 credits,N/A,N/A,N/A
ENG 438W,African American Literature,4 credits,N/A,N/A,N/A
ENG 441,Literary Theory and Criticism,4 credits,N/A,N/A,N/A
ENG 455,Advanced Writing Workshop,4 credits,N/A,N/A,N/A
ENG 463,Adolescent Literature,3 credits,N/A,N/A,N/A
ENG 464,Teaching Literature in the Middle School,3 credits,N/A,N/A,N/A
ENG 466,Usability,4 credits,N/A,N/A,N/A
ENG 272W,ENG 467 International Technical Communication,1-4 credits,N/A,N/A,N/A
ENG 471,Visual Technical Communication,4 credits,N/A,N/A,N/A
ENG 472,Topics in Technical Communication,1-4 credits,N/A,N/A,N/A
ENG 473,Desktop Publishing,4 credits,N/A,N/A,N/A
ENG 474W,Research and Writing Technical Reports,4 credits,N/A,N/A,N/A
ENG 478,Technical and Scientific Literature,4 credits,N/A,N/A,N/A
ENG 480,Proposals,4 credits,N/A,N/A,N/A
ENG 481,History of the English Language,4 credits,N/A,N/A,N/A
ENG 483,Writing About Health and Medicine,4 credits,N/A,N/A,N/A
ENG 492,Selected Topics,2-4 credits,N/A,N/A,N/A
ENG 494,English Workshop,1-6 credits,N/A,N/A,N/A
ENG 496,Senior Seminar in English Studies,4 credits,N/A,N/A,N/A
ENG 498,Internship,1-6 credits,N/A,N/A,N/A
ENG 499,Individual Study,1-4 credits,N/A,N/A,N/A
ENVR 101,Perspectives in Environmental Science,4 credits,N/A,N/A,N/A
ENVR 440,Environmental Regulations,3 credits,N/A,N/A,N/A
ENVR 450,Environmental Pollution & Control,3 credits,N/A,N/A,N/A
ENVR 460,Analysis of Pollutants,4 credits,N/A,N/A,N/A
ENVR 470,Environmental Assessment,3 credits,N/A,N/A,N/A
ENVR 498,Internship,1-6 credits,N/A,N/A,N/A
ENVR 499,Individual Study,1-6 credits,N/A,N/A,N/A
ETHN 100,American Racial Minorities,3 credits,N/A,N/A,N/A
ETHN 101,Introduction to Multicultural & Ethnic Studies,3 credits,N/A,N/A,N/A
ETHN 150,Multi-Cultural/Ethnic Experience,3 credits,N/A,N/A,N/A
ETHN 200,Interracial/Interethnic Dating/Marriage,3 credits,N/A,N/A,N/A
ETHN 201W,Perspectives on African Americans,3 credits,N/A,N/A,N/A
ETHN 203W,Perspectives on Asian Americans,3 credits,N/A,N/A,N/A
ETHN 204W,Perspectives on Latinos/Hispanics,3 credits,N/A,N/A,N/A
ETHN 220W,Civil Rights in the U.S.,3 credits,N/A,N/A,N/A
ETHN 295,Selected Topics,1-4 credits,N/A,N/A,N/A
ETHN 296,Workshop,1-3 credits,N/A,N/A,N/A
ETHN 299,Individual Study,1-3 credits,N/A,N/A,N/A
ETHN 310,Environmental Racism,3 credits,N/A,N/A,N/A
ETHN 330,Immigration and Ethnicity,3 credits,N/A,N/A,N/A
ETHN 400,Cultural Pluralism,3 credits,N/A,N/A,N/A
ETHN 401,Applied Cultural Research,3 credits,N/A,N/A,N/A
ETHN 402W,Ethnic Research Methods/Skills,3 credits,N/A,N/A,N/A
ETHN 405,Perspectives on New Immigrants,3 credits,N/A,N/A,N/A
ETHN 410,Foundations of Oppression,3 credits,N/A,N/A,N/A
ATHN 400,ETHN 420 African American Studies,3 credits,N/A,N/A,N/A
ETHN 440,Asian American Studies,3 credits,N/A,N/A,N/A
ETHN 450,Latino/Hispanic Studies,3 credits,N/A,N/A,N/A
ETHN 460,Urban Minority Problems,3 credits,N/A,N/A,N/A
ETHN 470,Women of Color,3 credits,N/A,N/A,N/A
ETHN 482,African American Civil Rights Movement,3 credits,N/A,N/A,N/A
ETHN 486,Racial and Ethnic Politics,3 credits,N/A,N/A,N/A
ETHN 490,Racial/Ethnic Families in the U.S.,3 credits,N/A,N/A,N/A
ETHN 495,Selected Topics,3 credits,N/A,N/A,N/A
ETHN 496,Workshop,1-3 credits,N/A,N/A,N/A
ETHN 497,Internship,1-10 credits,N/A,N/A,N/A
ETHN 498,College Teaching Internship,1-6 credits,N/A,N/A,N/A
ETHN 499,Individual Study,1-3 credits,N/A,N/A,N/A
EXED 202,Introduction to Experiential Education,3 credits,N/A,N/A,N/A
EXED 490,Workshop,1-3 credits,N/A,N/A,N/A
EXED 499,Individual Study,1-3 credits,N/A,N/A,N/A
FCS 100,Personal & Family Living,3 credits,N/A,N/A,N/A
FCS 101,Introduction to Family Consumer Science,3 credits,N/A,N/A,N/A
FCS 120,Clothing and People,3 credits,N/A,N/A,N/A
FCS 140,Introduction to Nutrition,3 credits,N/A,N/A,N/A
FCS 150,Cooking and Culture,3 credits,N/A,N/A,N/A
FCS 202,Introduction to Child Life Specialist,3 credits,N/A,N/A,N/A
FCS 203,End of Life Care,3 credits,N/A,N/A,N/A
FCS 242,Nutrition for Healthcare Professionals,3 credits,N/A,N/A,N/A
FCS 270,Family Housing,3 credits,N/A,N/A,N/A
FCS 275,Consumers in the Economy,3 credits,N/A,N/A,N/A
FCS 280,Food Systems and Policy,3 credits,N/A,N/A,N/A
FCS 284,Career and Technical Education,3 credits,N/A,N/A,N/A
FCS 301,Lifespan Development,3 credits,N/A,N/A,N/A
FCS 303,Working With Families,3 credits,N/A,N/A,N/A
FCS 331,Clothing Construction and Textiles,3 credits,N/A,N/A,N/A
FCS 340,Food Science,4 credits,N/A,N/A,N/A
FCS 375,Foodservice Management Principles,3 credits,N/A,N/A,N/A
FCS 376,Quantity Food Production,4 credits,N/A,N/A,N/A
FCS 401,Family Life Development,3 credits,N/A,N/A,N/A
FCS 402,Play and Child Development,3 credits,N/A,N/A,N/A
FCS 403,Parents and Peers and Adolescent Development,3 credits,N/A,N/A,N/A
FCS 414W,Family Policy and Ethics,3 credits,N/A,N/A,N/A
FCS 439,Nutrition for Physical Activity and Sport,3 credits,N/A,N/A,N/A
FCS 440,FCS 462 Advanced Medical Nutrition Therapy,3 credits,N/A,N/A,N/A
FCS 560,FCS 463 Nutrient Metabolism and Genetics,2 credits,N/A,N/A,N/A
FCS 473,Consumer Protection,3 credits,N/A,N/A,N/A
FCS 474,Community Resources and Family Support,3 credits,N/A,N/A,N/A
FCS 476,Nutrition Across the Lifecycle,3 credits,N/A,N/A,N/A
FCS 479,FCS Research,1-6 credits,N/A,N/A,N/A
FCS 480W,Applied Food Science,3 credits,N/A,N/A,N/A
FCS 482,Family Life Education,3 credits,N/A,N/A,N/A
FCS 488,Parenting Education,3 credits,N/A,N/A,N/A
FCS 493,Supervised Experiential Learning,1-6 credits,N/A,N/A,N/A
FCS 494,Family Life Education Practicum,1-3 credits,N/A,N/A,N/A
FCS 496,Selected Topics: CDFS,2-3 credits,N/A,N/A,N/A
FCS 497,Internship,1-6 credits,N/A,N/A,N/A
FCS 499,Individual Study,1-6 credits,N/A,N/A,N/A
FILM 110,Film Appreciation,4 credits,N/A,N/A,N/A
FILM 114,Introduction to Film,4 credits,N/A,N/A,N/A
FILM 210W,Film Genres,4 credits,N/A,N/A,N/A
FILM 214,Topics in Film Studies,4 credits,N/A,N/A,N/A
FILM 216W,Writing About Film,4 credits,N/A,N/A,N/A
FILM 217,Introduction to Film Production,4 credits,N/A,N/A,N/A
FILM 275,Independent Cinema,4 credits,N/A,N/A,N/A
